Unnamed: 0,Name,Team & Contract,ID,Height,Weight,foot,Acceleration,Sprint speed,Stamina,Strength,Interceptions,Vision,Composure,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Positioning,Weak foot,Skill moves,Attacking work rate,Defensive work rate,Unnamed: 23
,P. Dorgu LM LB RM LW,Manchester United 2025 ~ 2030,277432,"185cm 6'1""",70kg 154lbs,Left,84,87,75,74,73,71,75,71,73,11,8,11,2,3,,,
,A. Ramsdale GK,"Newcastle United Jun 30, 2026 On loan",233934,"190cm 6'3""",77kg 170lbs,Right,47,50,40,64,24,65,60,16,15,77,76,74,3,1,,,
,J. Ramsey CM LW CAM,Newcastle United 2025 ~ 2030,246923,"180cm 5'11""",72kg 159lbs,Right,76,77,79,69,68,77,79,74,64,14,9,6,4,3,,,
,Igor Jesus ST,Nottingham Forest 2025 ~ 2029,79402,"180cm 5'11""",73kg 161lbs,Right,68,71,72,79,29,72,75,35,24,11,6,14,3,3,,,
,D. Ndoye LM RM ST LW,Nottingham Forest 2025 ~ 2030,257980,"184cm 6'0""",79kg 174lbs,Right,86,92,72,65,62,70,74,67,65,10,14,15,3,3,,,
,M. Tel ST LW LM CAM,Tottenham Hotspur 2025 ~ 2031,268421,"183cm 6'0""",77kg 170lbs,Right,85,87,67,67,18,71,74,27,32,12,9,7,4,4,,,
,A. Gray CDM CB RB CM,Tottenham Hotspur 2024 ~ 2030,270208,"187cm 6'2""",70kg 154lbs,Right,70,73,77,72,76,73,78,76,74,15,12,6,4,2,,,
,W. Odobert LW LM RM,Tottenham Hotspur 2024 ~ 2029,270579,"182cm 6'0""",75kg 165lbs,Right,87,85,68,43,23,73,72,30,28,5,10,11,4,3,,,
,C. Wilson ST,West Ham United 2025 ~ 2029,196978,"180cm 5'11""",66kg 146lbs,Right,73,72,45,68,40,69,77,40,27,10,15,10,3,3,,,
,A. Disasi CB RB,"West Ham United Jun 30, 2026 On loan",229942,"191cm 6'3""",86kg 190lbs,Right,50,60,58,88,76,55,74,77,75,12,8,8,2,2,,,
,K. Mavropanos CB,West Ham United 2023 ~ 2028,242000,"194cm 6'4""",89kg 196lbs,Right,64,76,65,88,80,44,63,78,78,12,11,10,3,2,,,
,B. Brobbey ST,Sunderland 2025 ~ 2030,251810,"180cm 5'11""",78kg 172lbs,Right,82,85,61,94,26,58,78,23,24,10,11,8,4,3,,,
,H. Diarra CM CAM CDM,Sunderland 2025 ~ 2030,264293,"178cm 5'10""",75kg 165lbs,Right,74,67,77,69,76,77,77,76,70,8,12,7,2,2,,,
,R. Sessegnon LB LM,Fulham FC 2024 ~ 2027,235883,"178cm 5'10""",70kg 154lbs,Left,79,78,71,62,74,75,77,74,72,6,11,8,3,4,,,
,E. Smith Rowe CAM CM LM,Fulham FC 2024 ~ 2029,240273,"182cm 6'0""",73kg 161lbs,Right,76,69,64,61,47,77,78,57,40,11,8,8,4,4,,,
,K. Walker RB CM,Burnley 2025 ~ 2027,188377,"183cm 6'0""",83kg 183lbs,Right,83,81,72,77,77,69,75,75,77,12,6,15,2,3,,,
,J. Cullen CDM CM,Burnley 2022 ~ 2027,228151,"175cm 5'9""",70kg 154lbs,Right,69,55,86,63,75,74,80,76,73,9,12,11,3,3,,,
,Florentino CDM CM,"Burnley Jun 30, 2026 On loan",234569,"184cm 6'0""",76kg 168lbs,Right,55,55,70,75,83,69,74,79,81,6,14,10,3,2,,,
,W. Hughes CDM CM,Crystal Palace 2021 ~ 2027,206516,"185cm 6'1""",74kg 163lbs,Left,54,48,69,60,78,78,77,77,75,7,15,9,3,3,,,
,J. Lerma CDM CM CB,Crystal Palace 2023 ~ 2030,213991,"179cm 5'10""",70kg 154lbs,Right,65,68,77,74,78,63,72,76,76,16,14,7,3,3,,,
,J. Strand Larsen ST,Crystal Palace 2026 ~ 2030,238756,"194cm 6'4""",79kg 174lbs,Right,72,78,78,86,26,70,73,27,23,7,14,8,3,3,,,
,C. Doucouré CDM CM CB,Crystal Palace 2022 ~ 2029,242619,"180cm 5'11""",73kg 161lbs,Right,58,63,63,74,78,72,75,77,79,10,14,12,3,3,,,
,L. Dunk CB,Brighton & Hove Albion 2010 ~ 2027,199915,"192cm 6'4""",88kg 194lbs,Right,33,41,62,84,77,67,79,78,77,15,16,12,2,2,,,
,M. O'Riley CAM CM CDM,Brighton & Hove Albion 2024 ~ 2029,240734,"187cm 6'2""",80kg 176lbs,Left,63,59,77,72,67,81,79,70,65,14,12,13,4,3,,,
,G. Rutter CAM ST,Brighton & Hove Albion 2024 ~ 2029,245637,"182cm 6'0""",83kg 183lbs,Left,76,77,79,76,56,77,77,67,50,6,10,10,5,5,,,
,D. Gómez CDM CM LM,Brighton & Hove Albion 2025 ~ 2030,269278,"183cm 6'0""",77kg 170lbs,Right,71,73,75,75,72,79,77,73,68,6,6,6,3,3,,,
,V. Janelt CDM CM,Brentford 2020 ~ 2030,235167,"184cm 6'0""",79kg 174lbs,Left,64,55,79,76,77,74,75,76,72,6,8,6,3,3,,,
,S. van den Berg CB,Brentford 2024 ~ 2029,242453,"192cm 6'4""",87kg 192lbs,Right,68,77,71,79,76,62,74,80,73,11,14,9,3,2,,,
,Y. Yarmoliuk CDM CM,Brentford 2022 ~ 2031,270608,"180cm 5'11""",72kg 159lbs,Right,68,65,75,68,75,77,76,77,73,9,9,9,3,3,,,
,A. Adli ST LM CAM,AFC Bournemouth 2025 ~ 2030,255223,"174cm 5'9""",72kg 159lbs,Left,87,82,64,67,30,73,71,38,35,10,8,8,3,4,,,
,Álex Jiménez RB RM,AFC Bournemouth 2026 ~ 2031,278928,"171cm 5'7""",66kg 146lbs,Right,87,84,75,46,75,69,76,78,73,9,8,10,4,2,,,
,W. Saïd LW ST LM,RC Lens 2021 ~ 2030,212613,"171cm 5'7""",72kg 159lbs,Right,74,74,67,59,23,74,80,25,23,11,9,12,3,4,,,
,A. Saint-Maximin LW LM,RC Lens 2026 ~ 2030,216388,"173cm 5'8""",67kg 148lbs,Right,91,89,72,73,23,70,77,25,23,10,9,7,4,5,,,
,J. Gradit CB,RC Lens 2019 ~ 2028,221284,"180cm 5'11""",75kg 165lbs,Right,66,66,72,79,77,60,75,79,78,8,13,12,3,2,,,
,R. Aguilar RB RM,RC Lens 2023 ~ 2030,223597,"172cm 5'8""",69kg 152lbs,Right,73,62,90,66,76,72,74,77,75,15,8,10,2,3,,,
,O. Édouard ST,RC Lens 2025 ~ 2028,233866,"187cm 6'2""",83kg 183lbs,Right,67,69,64,82,39,69,76,46,28,7,6,11,4,4,,,
,A. Mandi CB RB,Lille OSC 2024 ~ 2029,201143,"186cm 6'1""",82kg 181lbs,Right,59,55,60,78,76,68,74,77,73,15,16,10,3,2,,,
,T. Meunier RB RM,Lille OSC 2024 ~ 2029,202371,"191cm 6'3""",90kg 198lbs,Right,62,68,80,84,76,73,74,74,77,8,13,6,4,3,,,
,N. Bentaleb CDM CM,Lille OSC 2023 ~ 2030,213296,"187cm 6'2""",78kg 172lbs,Left,51,50,64,76,73,80,80,74,66,9,10,9,2,4,,,
,G. Perrin RM LM RW,Lille OSC 2026 ~ 2028,232360,"169cm 5'7""",63kg 139lbs,Right,82,79,82,61,25,76,73,34,28,12,14,8,4,3,,,
,A. Maitland-Niles RB RM CM,Olympique Lyonnais 2023 ~ 2027,225782,"180cm 5'11""",71kg 157lbs,Right,76,81,77,73,73,76,82,76,77,15,9,10,3,3,,,
,P. Pogba CM CDM CAM,AS Monaco 2025 ~ 2027,195864,"191cm 6'3""",84kg 185lbs,Right,60,68,55,88,60,82,82,61,58,5,6,4,4,5,,,
,Caio Henrique LB LM,AS Monaco 2020 ~ 2027,232440,"178cm 5'10""",70kg 154lbs,Left,76,79,81,57,73,77,80,75,71,11,15,6,2,3,,,
,P. Köhn GK,AS Monaco 2023 ~ 2028,239364,"190cm 6'3""",80kg 176lbs,Right,48,43,28,63,12,54,32,13,14,78,74,75,2,1,,,
,M. Salisu CB,AS Monaco 2023 ~ 2028,244915,"191cm 6'3""",85kg 187lbs,Left,55,62,67,87,80,24,70,79,75,7,7,10,3,2,,,
,Vanderson RB RM,AS Monaco 2022 ~ 2028,263781,"173cm 5'8""",74kg 163lbs,Right,79,78,77,67,72,74,74,74,74,8,8,6,3,3,,,
,M. Biereth ST,AS Monaco 2025 ~ 2030,270050,"187cm 6'2""",78kg 172lbs,Right,69,79,73,79,24,68,77,23,28,10,10,15,3,3,,,
,Y. Diouf GK,OGC Nice 2025 ~ 2030,235633,"190cm 6'3""",74kg 163lbs,Right,52,48,44,62,15,41,46,11,16,77,76,75,3,1,,,
,C. Vanhoutte CDM CM,OGC Nice 2025 ~ 2029,244889,"182cm 6'0""",76kg 168lbs,Right,62,50,85,75,76,75,71,74,72,14,12,7,3,2,,,
,M. Bard LB LM CB,OGC Nice 2021 ~ 2028,254548,"173cm 5'8""",65kg 143lbs,Left,77,78,81,74,75,64,70,77,73,12,12,7,3,3,,,
,S. Mayulu CM ST CDM,Paris Saint-Germain 2024 ~ 2027,70004,"183cm 6'0""",69kg 152lbs,Left,76,74,76,52,71,76,78,69,55,5,10,6,5,3,,,
,B. Embolo ST,Stade Rennais FC 2025 ~ 2029,222357,"187cm 6'2""",88kg 194lbs,Right,73,82,68,85,44,74,74,63,38,13,6,7,4,3,,,
,S. Szymański CAM CM RW,Stade Rennais FC 2026 ~ 2029,235973,"174cm 5'9""",63kg 139lbs,Left,79,75,84,57,51,78,76,60,57,9,10,14,2,3,,,
,M. Camara CM CDM CAM,Stade Rennais FC 2025 ~ 2029,243631,"179cm 5'10""",73kg 161lbs,Right,68,78,80,74,79,77,75,78,75,6,11,9,2,3,,,
,B. Chilwell LB LM,RC Strasbourg Alsace 2025 ~ 2027,229984,"180cm 5'11""",77kg 170lbs,Left,69,70,62,68,76,73,75,77,77,10,7,7,3,3,,,
,I. Doukouré CB CDM CM,RC Strasbourg Alsace 2022 ~ 2028,257090,"183cm 6'0""",83kg 183lbs,Right,59,67,70,80,76,66,71,79,78,9,14,11,3,2,,,
,M. Penders GK,"RC Strasbourg Alsace Jun 30, 2026 On loan",270821,"200cm 6'7""",95kg 209lbs,Left,17,29,26,72,9,55,41,10,14,79,76,74,2,1,,,
,J. Panichelli ST,RC Strasbourg Alsace 2025 ~ 2030,273748,"190cm 6'3""",82kg 181lbs,Right,63,73,81,86,11,69,73,16,18,9,15,7,3,3,,,
,G. Doué RB CB RM,RC Strasbourg Alsace 2024 ~ 2029,275208,"187cm 6'2""",84kg 185lbs,Right,65,77,76,80,76,69,75,76,75,11,14,14,3,3,,,
,G. Kondogbia CDM CB CM,Olympique de Marseille 2023 ~ 2027,201455,"188cm 6'2""",80kg 176lbs,Left,56,64,72,85,76,73,77,80,74,15,10,8,3,3,,,
,Emerson LB LM,Olympique de Marseille 2025 ~ 2027,210736,"176cm 5'9""",76kg 168lbs,Left,73,69,79,68,76,67,77,75,75,8,15,7,2,3,,,
,H. Traoré LM CAM LW,"Olympique de Marseille Jun 30, 2026 On loan",240787,"177cm 5'10""",70kg 154lbs,Right,80,82,68,58,41,73,67,60,61,8,10,12,3,3,,,
,T. Weah RM RB LM,"Olympique de Marseille Jun 30, 2026 On loan",241496,"182cm 6'0""",66kg 146lbs,Right,86,88,70,59,66,69,74,69,70,7,9,15,3,3,,,
,A. Vermeeren CM CDM,"Olympique de Marseille Jun 30, 2026 On loan",269859,"180cm 5'11""",74kg 163lbs,Right,75,65,76,61,77,81,79,64,59,9,6,9,4,3,,,
,B. Chardonnet CB,Stade Brestois 29 2014 ~ 2027,215410,"181cm 5'11""",74kg 163lbs,Right,47,46,67,82,80,38,73,79,77,10,14,11,3,2,,,
,L. Ajorque ST,Stade Brestois 29 2024 ~ 2027,219733,"196cm 6'5""",93kg 205lbs,Left,52,72,67,94,39,74,82,45,35,8,13,14,3,3,,,
,C. Cresswell CB,Toulouse FC 2024 ~ 2028,254121,"191cm 6'3""",77kg 170lbs,Right,55,63,65,80,73,33,72,79,74,11,11,10,3,2,,,
,C. Immobile ST CAM,Paris FC 2026 ~ 2028,192387,"185cm 6'1""",85kg 187lbs,Right,68,68,67,72,40,71,76,33,32,6,8,12,4,3,,,
,H. Traoré RB RM,Paris FC 2025 ~ 2027,219789,"175cm 5'9""",64kg 141lbs,Right,75,78,77,73,72,66,72,77,74,10,14,7,3,3,,,
,P. Lees-Melou CDM CM,Paris FC 2025 ~ 2027,230020,"186cm 6'1""",70kg 154lbs,Right,61,54,78,68,79,77,77,73,65,14,6,9,4,3,,,
,I. Kebbal RW RM CAM,Paris FC 2023 ~ 2028,257118,"169cm 5'7""",60kg 132lbs,Left,83,71,83,40,17,78,80,20,21,9,11,11,2,4,,,
,J. Urbig GK,FC Bayern München 2025 ~ 2029,263887,"189cm 6'2""",85kg 187lbs,Right,31,33,24,51,14,45,42,14,10,78,75,77,4,1,,,
,Yan Couto RB RM,Borussia Dortmund 2025 ~ 2030,259075,"168cm 5'6""",60kg 132lbs,Right,84,69,74,51,74,75,65,72,77,9,6,8,3,4,,,
,J. Bellingham CM CDM,Borussia Dortmund 2025 ~ 2030,270964,"191cm 6'3""",75kg 165lbs,Right,68,71,84,77,86,74,70,80,76,10,10,15,3,3,,,
,M. Nicolas GK,Borussia Mönchengladbach 2016 ~ 2029,235018,"193cm 6'4""",89kg 196lbs,Right,18,26,28,74,15,51,55,17,13,81,78,77,2,1,,,
,R. Hack LM ST CAM LW,Borussia Mönchengladbach 2023 ~ 2029,239367,"178cm 5'10""",72kg 159lbs,Right,84,73,81,58,29,68,68,31,29,8,9,10,4,4,,,
,R. Reitz CM CDM RM,Borussia Mönchengladbach 2020 ~ 2028,257919,"176cm 5'9""",72kg 159lbs,Right,73,69,79,55,86,75,74,77,78,8,8,15,4,3,,,
,J. Manzambi CM CDM CAM,SC Freiburg 2024 ~ 2030,276694,"183cm 6'0""",75kg 165lbs,Right,81,75,77,69,75,74,73,74,59,8,10,13,3,4,,,
,Fábio Vieira CM CAM RW CDM,"Hamburger SV Jun 30, 2026 On loan",256958,"173cm 5'8""",61kg 134lbs,Left,73,70,66,48,59,82,76,60,48,9,5,13,3,3,,,
,J. Kamiński LM CAM LW LB,"1. FC Köln Jun 30, 2026 On loan",252495,"179cm 5'10""",68kg 150lbs,Right,86,83,79,54,55,71,63,57,47,5,10,8,3,3,,,
,Lucas Vázquez RB RM,Bayer 04 Leverkusen 2025 ~ 2027,208618,"173cm 5'8""",69kg 152lbs,Right,74,77,83,56,74,79,75,69,67,9,16,9,4,4,,,
,J. Hofmann CAM ST CM,Bayer 04 Leverkusen 2023 ~ 2027,210324,"176cm 5'9""",72kg 159lbs,Right,69,60,73,66,75,78,79,57,57,6,6,10,4,3,,,
,C. Führich LM LW CAM,VfB Stuttgart 2021 ~ 2028,241925,"181cm 5'11""",73kg 161lbs,Right,87,84,75,49,43,73,69,55,50,6,7,12,4,4,,,
,M. Friedl CB LB,SV Werder Bremen 2019 ~ 2027,237595,"187cm 6'2""",82kg 181lbs,Left,67,82,75,77,78,54,73,79,81,11,15,6,2,2,,,
,R. Zentner GK,1. FSV Mainz 05 2017 ~ 2028,224251,"194cm 6'4""",96kg 212lbs,Right,60,64,29,83,18,22,46,17,13,80,72,72,3,1,,,
,J. Mæhle LB RB LM,VfL Wolfsburg 2023 ~ 2027,234678,"185cm 6'1""",79kg 174lbs,Right,77,73,83,74,75,66,73,73,73,12,8,10,3,3,,,
,L. Majer CAM CM RM,VfL Wolfsburg 2023 ~ 2028,244261,"178cm 5'10""",76kg 168lbs,Left,76,65,84,65,63,77,77,58,66,9,12,5,3,4,,,
,P. Wimmer LM CAM CM LW,VfL Wolfsburg 2022 ~ 2027,254566,"182cm 6'0""",77kg 170lbs,Right,82,84,77,73,48,77,70,47,45,12,13,14,4,5,,,
,E. Skhiri CDM CM CB,Eintracht Frankfurt 2023 ~ 2027,225126,"185cm 6'1""",74kg 163lbs,Right,65,64,83,69,79,71,77,77,73,15,14,14,3,3,,,
,A. Knauff LM CAM RM LW,Eintracht Frankfurt 2023 ~ 2028,257540,"180cm 5'11""",73kg 161lbs,Right,88,89,76,55,59,72,71,57,48,8,13,14,3,3,,,
,H. Larsson CM CDM,Eintracht Frankfurt 2023 ~ 2029,268896,"187cm 6'2""",79kg 174lbs,Right,72,81,81,74,77,78,83,70,60,14,7,12,3,3,,,
,L. Querfeld CB,1. FC Union Berlin 2024 ~ 2029,265576,"190cm 6'3""",83kg 183lbs,Right,39,51,68,85,73,60,73,79,76,12,6,9,3,2,,,
,B. Touré LM CAM LW,TSG 1899 Hoffenheim 2025 ~ 2029,71418,"175cm 5'9""",68kg 150lbs,Left,90,92,66,50,21,68,58,35,25,5,8,6,3,4,,,
,G. Prömel CM CDM,TSG 1899 Hoffenheim 2022 ~ 2030,228595,"184cm 6'0""",81kg 179lbs,Right,65,59,78,76,75,76,76,75,71,8,14,10,4,3,,,
,W. Burger CM CDM,TSG 1899 Hoffenheim 2025 ~ 2030,244050,"191cm 6'3""",83kg 183lbs,Left,74,76,83,81,73,77,74,78,72,10,5,6,4,3,,,
,A. Hložek ST RM CAM,TSG 1899 Hoffenheim 2024 ~ 2029,246618,"188cm 6'2""",84kg 185lbs,Right,78,78,77,83,23,76,76,32,23,11,10,11,4,3,,,
,L. Avdullahu CDM CM CB,TSG 1899 Hoffenheim 2025 ~ 2028,276969,"185cm 6'1""",79kg 174lbs,Right,64,57,88,68,75,78,75,69,64,10,13,7,3,2,,,
,J. Gouweleeuw CB,FC Augsburg 2016 ~ 2027,202201,"188cm 6'2""",83kg 183lbs,Right,66,68,70,78,79,71,74,80,74,13,7,13,2,2,,,
,C. Matsima CB,FC Augsburg 2025 ~ 2030,258432,"193cm 6'4""",80kg 176lbs,Right,64,84,72,82,76,51,74,78,70,12,8,6,3,2,,,
,M. Vandevoordt GK,RB Leipzig 2024 ~ 2030,242879,"192cm 6'4""",81kg 179lbs,Right,43,40,38,59,14,64,56,10,18,79,76,75,3,1,,,
,J. Bakayoko RW RM,RB Leipzig 2025 ~ 2030,265450,"179cm 5'10""",76kg 168lbs,Left,87,83,70,68,33,73,70,35,27,7,14,6,3,4,,,
,R. Bellanova RM RB RW,Atalanta 2024 ~ 2029,247229,"188cm 6'2""",82kg 181lbs,Right,82,90,81,71,69,68,66,73,71,8,8,8,3,3,,,
,L. Samardžić CAM CM,Atalanta 2025 ~ 2029,256115,"184cm 6'0""",70kg 154lbs,Left,75,64,59,64,64,78,71,65,58,11,14,11,3,4,,,
,N. Zalewski LM CAM RM LW,Atalanta 2025 ~ 2029,262113,"175cm 5'9""",68kg 150lbs,Right,80,85,75,49,64,74,72,67,64,10,5,8,5,3,,,
,P. Sučić CM CAM CDM,Inter 2025 ~ 2028,276278,"183cm 6'0""",76kg 168lbs,Right,72,71,90,68,64,79,84,65,62,10,5,14,4,3,,,
,A. Marušić RB LB RM,Lazio 2017 ~ 2030,224031,"185cm 6'1""",81kg 179lbs,Right,79,80,77,77,75,60,75,74,75,8,9,10,4,3,,,
,S. Pavlović CB,AC Milan 2024 ~ 2028,254840,"194cm 6'4""",85kg 187lbs,Left,70,78,85,83,73,31,70,74,77,12,14,10,3,2,,,
,A. Jashari CDM CM,AC Milan 2025 ~ 2030,257186,"181cm 5'11""",81kg 179lbs,Left,77,74,87,80,74,76,76,72,68,8,7,13,4,2,,,
,M. Olivera LB CB LM CM,Napoli 2022 ~ 2027,240716,"184cm 6'0""",78kg 172lbs,Left,69,71,78,67,79,62,68,78,75,14,14,13,3,3,,,
,E. Elmas CAM CM LM,"Napoli Jun 30, 2026 On loan",241390,"184cm 6'0""",80kg 176lbs,Right,77,68,75,64,69,77,70,67,62,8,5,6,4,4,,,
,K. Tsimikas LB LM,"Roma Jun 30, 2026 On loan",232223,"179cm 5'10""",77kg 170lbs,Left,79,78,69,69,77,73,71,77,75,8,12,13,3,3,,,
,Bryan Zaragoza LW LM CAM,"Roma Jun 30, 2026 On loan",271916,"164cm 5'5""",61kg 134lbs,Right,85,79,61,33,23,62,58,32,38,10,11,12,4,4,,,
,C. Biraghi LB LM,Torino 2025 ~ 2027,201389,"185cm 6'1""",78kg 172lbs,Left,73,71,76,66,75,72,82,75,72,12,6,10,3,3,,,
,J. Odgaard CAM CM,Bologna 2024 ~ 2027,234671,"191cm 6'3""",84kg 185lbs,Left,74,73,79,75,36,77,72,39,28,8,13,8,3,3,,,
,João Mário RB RM,"Bologna Jun 30, 2026 On loan",257290,"178cm 5'10""",73kg 161lbs,Right,85,83,83,60,71,73,70,69,69,9,5,10,4,3,,,
,S. Castro ST,Bologna 2024 ~ 2028,267861,"178cm 5'10""",86kg 190lbs,Right,80,78,60,67,39,59,74,38,40,14,13,12,4,4,,,
,Jesús Rodríguez LM RM LW,Como 2025 ~ 2029,75055,"185cm 6'1""",68kg 150lbs,Right,83,78,65,60,33,76,70,39,38,8,11,8,3,3,,,
,N. Kühn RW RM LM,Como 2025 ~ 2029,239977,"174cm 5'9""",74kg 163lbs,Left,90,92,80,67,40,74,77,52,47,5,14,13,5,4,,,
,M. Solomon LM RW LW,"Fiorentina Jun 30, 2026 On loan",246791,"170cm 5'7""",66kg 146lbs,Right,84,83,66,40,35,72,78,47,35,12,11,13,4,4,,,
,N. Matić CDM CM,Sassuolo 2025 ~ 2028,191202,"194cm 6'4""",85kg 187lbs,Left,34,33,59,82,78,73,85,76,69,7,15,14,3,3,,,
,C. Lenglet CB,Atlético Madrid 2025 ~ 2028,220440,"186cm 6'1""",81kg 179lbs,Left,52,56,73,79,79,70,76,76,74,10,10,12,4,2,,,
,N. Molina RB CDM,Atlético Madrid 2022 ~ 2027,233084,"175cm 5'9""",70kg 154lbs,Right,82,83,78,64,74,76,74,76,75,12,13,5,3,3,,,
,Fran García LB LM,Real Madrid 2023 ~ 2027,246606,"169cm 5'7""",63kg 139lbs,Left,88,86,83,71,73,67,69,79,73,9,6,9,3,3,,,
,F. Mastantuono RM RW,Real Madrid 2025 ~ 2031,279173,"178cm 5'10""",74kg 163lbs,Left,79,73,73,60,53,78,78,51,49,7,13,6,3,3,,,
,Beñat Prados CDM CM CB,Athletic Club 2019 ~ 2031,263617,"180cm 5'11""",72kg 159lbs,Right,70,66,78,72,76,74,77,78,73,15,8,9,3,2,,,
,Pau López GK,Real Betis Balompié 2025 ~ 2028,221087,"189cm 6'2""",77kg 170lbs,Left,45,52,42,52,16,67,62,20,11,76,76,77,3,1,,,
,Aitor Ruibal RM RB LM,Real Betis Balompié 2016 ~ 2028,241867,"176cm 5'9""",74kg 163lbs,Right,80,82,67,69,70,74,70,69,71,9,14,15,3,3,,,
,Fidalgo CM CAM CDM,Real Betis Balompié 2026 ~ 2030,246608,"174cm 5'9""",68kg 150lbs,Right,78,80,82,58,64,78,77,63,58,10,9,11,4,4,,,
,Álvaro Valles GK,Real Betis Balompié 2025 ~ 2030,246657,"191cm 6'3""",82kg 181lbs,Right,40,42,40,65,15,67,45,10,9,77,76,77,4,1,,,
,Altimira CDM CM,Real Betis Balompié 2023 ~ 2029,276471,"188cm 6'2""",80kg 176lbs,Right,68,73,75,80,77,76,74,78,72,11,8,12,3,3,,,
,Edu Expósito CAM CM CDM,RCD Espanyol 2022 ~ 2027,229862,"178cm 5'10""",68kg 150lbs,Right,64,65,75,65,76,81,77,75,72,9,15,6,5,3,,,
,Puado LW ST CAM LM,RCD Espanyol 2017 ~ 2030,244622,"177cm 5'10""",69kg 152lbs,Right,82,80,82,73,52,77,77,53,37,8,9,8,3,4,,,
,J. Mojica LB LM,RCD Mallorca 2024 ~ 2027,214026,"185cm 6'1""",66kg 146lbs,Left,86,87,71,69,72,65,75,75,72,13,8,9,2,3,,,
,M. Valjent CB,RCD Mallorca 2019 ~ 2029,219585,"187cm 6'2""",70kg 154lbs,Right,66,59,82,85,71,53,60,80,78,8,15,9,2,2,,,
,Leo Román GK,RCD Mallorca 2020 ~ 2030,258466,"189cm 6'2""",83kg 183lbs,Right,49,48,44,68,14,49,46,14,15,78,74,75,3,1,,,
,Gorrotxa CDM CM,Real Sociedad 2024 ~ 2027,74091,"177cm 5'10""",70kg 154lbs,Right,70,73,90,78,79,70,71,78,75,7,13,5,3,2,,,
,Zubeldia CB,Real Sociedad 2015 ~ 2029,233738,"181cm 5'11""",73kg 161lbs,Right,73,76,77,81,80,72,73,76,74,6,8,10,3,2,,,
,J. Aramburu RB,Real Sociedad 2023 ~ 2030,259848,"176cm 5'9""",71kg 157lbs,Right,78,75,80,68,77,70,71,75,77,12,7,13,3,2,,,
,Jon Martín CB,Real Sociedad 2023 ~ 2030,277225,"185cm 6'1""",83kg 183lbs,Right,64,72,69,80,79,59,66,75,73,14,12,8,3,2,,,
,S. Dimitrievski GK,Valencia CF 2024 ~ 2029,211348,"188cm 6'2""",84kg 185lbs,Right,35,38,40,72,21,51,53,19,17,76,76,76,2,1,,,
,Gayà LB LM,Valencia CF 2012 ~ 2027,211688,"172cm 5'8""",66kg 146lbs,Left,77,78,76,66,76,75,75,76,76,13,10,12,3,4,,,
,Luis Rioja RM LM RW,Valencia CF 2024 ~ 2027,224415,"176cm 5'9""",70kg 154lbs,Left,80,84,77,50,58,71,70,49,49,6,9,12,4,3,,,
,Hugo Duro ST,Valencia CF 2022 ~ 2028,243032,"177cm 5'10""",70kg 154lbs,Left,74,73,76,76,55,73,79,45,40,8,14,14,4,3,,,
,Diego López LW RM ST LM,Valencia CF 2021 ~ 2029,264238,"172cm 5'8""",62kg 137lbs,Right,84,83,75,60,35,75,66,30,30,14,15,14,4,3,,,
,L. Boyé ST,Deportivo Alavés 2025 ~ 2029,222041,"183cm 6'0""",79kg 174lbs,Right,68,70,73,86,58,73,72,56,37,14,7,15,2,4,,,
,Sivera GK,Deportivo Alavés 2017 ~ 2027,222464,"184cm 6'0""",75kg 165lbs,Right,58,55,42,63,24,45,53,17,12,77,75,76,3,1,,,
,Toni Martínez ST,Deportivo Alavés 2024 ~ 2028,234826,"187cm 6'2""",83kg 183lbs,Right,74,82,75,83,23,66,69,34,23,11,11,7,3,3,,,
,N. Tenaglia CB RB LB,Deportivo Alavés 2023 ~ 2027,240953,"180cm 5'11""",73kg 161lbs,Right,70,73,80,76,80,68,76,77,75,12,7,8,3,3,,,
,Aitor Fernández GK,CA Osasuna 2022 ~ 2027,193314,"182cm 6'0""",78kg 172lbs,Right,58,53,39,52,24,47,55,13,12,77,74,76,2,1,,,
,Lucas Torró CDM CM,CA Osasuna 2020 ~ 2027,208137,"190cm 6'3""",77kg 170lbs,Right,48,50,77,76,75,72,70,76,74,13,14,12,3,2,,,
,Moncayola CM CDM RM,CA Osasuna 2017 ~ 2031,247495,"189cm 6'2""",86kg 190lbs,Right,64,63,78,75,75,77,74,77,76,7,7,11,4,3,,,
,Aimar Oroz CAM CM LM,CA Osasuna 2022 ~ 2029,258937,"177cm 5'10""",72kg 159lbs,Right,70,65,78,64,73,78,75,71,60,6,6,6,3,3,,,
,A. Mumin CB,Rayo Vallecano 2022 ~ 2028,235662,"188cm 6'2""",79kg 174lbs,Right,75,77,71,76,77,54,65,78,77,13,6,9,4,3,,,
,Óscar Valentín CDM CM,Rayo Vallecano 2019 ~ 2027,243558,"177cm 5'10""",72kg 159lbs,Right,64,64,81,71,77,73,70,77,77,11,8,10,3,2,,,
,P. Ciss CDM CM CB,Rayo Vallecano 2021 ~ 2027,250858,"186cm 6'1""",71kg 157lbs,Right,64,62,78,83,78,66,65,77,77,13,5,14,3,2,,,
,Carmona RB CB LB CM,Sevilla FC 2020 ~ 2028,264172,"183cm 6'0""",80kg 176lbs,Right,84,86,82,72,74,72,72,74,72,9,6,7,3,3,,,
