Unnamed: 0,Name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Value,Wage,Acceleration,Sprint speed,Stamina,Strength,Interceptions,Vision,Composure,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Positioning,Weak foot,Skill moves,Attacking work rate,Defensive work rate,Unnamed: 28
,N. Milenković CB,27,80,81,Nottingham Forest 2024 ~ 2029,238095,"195cm 6'5""",90kg 198lbs,Right,€21M,€90K,62,53,74,90,80,55,78,81,78,8,7,7,3,2,,,
,N. Williams LB RB,24,80,82,Nottingham Forest 2022 ~ 2029,243057,"183cm 6'0""",72kg 159lbs,Right,€25M,€78K,70,73,79,64,79,69,76,80,82,10,11,14,4,2,,,
,D. Solanke ST,27,80,80,Tottenham Hotspur 2024 ~ 2030,225539,"187cm 6'2""",80kg 176lbs,Right,€23M,€110K,68,74,87,84,43,70,78,35,22,9,15,9,2,3,,,
,R. Bentancur CDM CM,28,80,81,Tottenham Hotspur 2022 ~ 2030,227535,"187cm 6'2""",72kg 159lbs,Right,€20.5M,€100K,63,65,72,70,83,78,82,80,77,8,7,14,4,3,,,
,P. Sarr CM CDM,22,80,85,Tottenham Hotspur 2021 ~ 2030,259868,"184cm 6'0""",70kg 154lbs,Right,€32M,€88K,71,66,85,71,80,78,80,80,76,14,8,8,3,2,,,
,N. Mukiele CB RB,27,80,80,Sunderland 2025 ~ 2029,226166,"187cm 6'2""",84kg 185lbs,Right,€19.5M,€65K,76,69,68,81,81,64,71,81,85,10,7,11,3,3,,,
,Reinildo LB,31,80,80,Sunderland 2025 ~ 2027,236045,"180cm 5'11""",73kg 161lbs,Left,€15.5M,€68K,81,81,82,75,80,64,73,79,79,6,8,15,3,3,,,
,O. Alderete CB,28,80,81,Sunderland 2025 ~ 2029,240359,"188cm 6'2""",77kg 170lbs,Left,€20M,€68K,56,63,71,83,81,51,68,81,79,7,13,13,3,2,,,
,R. Roefs GK,22,80,86,Sunderland 2025 ~ 2030,263798,"193cm 6'4""",72kg 159lbs,Left,€27.5M,€33K,29,33,23,64,7,33,31,13,13,80,78,81,3,1,,,
,A. Iwobi LM CDM LW,29,80,80,Fulham FC 2023 ~ 2028,213655,"180cm 5'11""",75kg 165lbs,Right,€20.5M,€90K,77,75,88,72,59,81,81,64,50,14,7,14,3,4,,,
,H. Wilson RM CAM RW,28,80,80,Fulham FC 2021 ~ 2030,220710,"173cm 5'8""",70kg 154lbs,Left,€21M,€90K,79,76,75,53,40,81,82,45,40,7,13,15,2,3,,,
,D. Welbeck ST,34,80,80,Brighton & Hove Albion 2020 ~ 2027,186146,"185cm 6'1""",73kg 161lbs,Right,€10.5M,€105K,60,60,68,81,40,75,80,40,35,9,10,12,4,3,,,
,B. Verbruggen GK,22,80,86,Brighton & Hove Albion 2023 ~ 2028,258498,"193cm 6'4""",89kg 196lbs,Right,€27.5M,€45K,57,55,30,72,19,43,35,17,14,80,77,79,4,1,,,
,J. van Hecke CB,25,80,83,Brighton & Hove Albion 2020 ~ 2027,258908,"189cm 6'2""",79kg 174lbs,Right,€25M,€86K,66,68,70,79,79,76,78,80,83,11,9,7,3,2,,,
,Y. Minteh RM RW,20,80,86,Brighton & Hove Albion 2024 ~ 2029,271800,"180cm 5'11""",65kg 143lbs,Left,€33M,€70K,94,94,70,47,54,78,80,60,49,9,8,11,3,4,,,
,C. Baleba CDM CM,21,80,86,Brighton & Hove Albion 2023 ~ 2028,272500,"183cm 6'0""",77kg 170lbs,Left,€31M,€65K,75,74,76,79,82,76,80,81,78,11,6,14,3,3,,,
,M. Damsgaard CAM CM LW,24,80,83,Brentford 2022 ~ 2030,241508,"180cm 5'11""",70kg 154lbs,Right,€29M,€71K,70,66,78,62,69,84,81,74,64,6,10,11,3,4,,,
,M. Kayode RB RM,20,80,85,Brentford 2025 ~ 2030,277869,"179cm 5'10""",70kg 154lbs,Right,€29M,€55K,84,82,81,78,79,71,76,80,77,9,8,14,3,3,,,
,A. Scott CDM CM CAM,21,80,86,AFC Bournemouth 2023 ~ 2028,261299,"178cm 5'10""",68kg 150lbs,Right,€31M,€55K,73,70,86,65,80,80,81,76,80,9,10,12,3,3,,,
,A. Thomasson CM CDM,31,80,80,RC Lens 2023 ~ 2029,208787,"175cm 5'9""",72kg 159lbs,Right,€17.5M,€35K,62,54,93,65,75,79,79,69,58,14,9,9,4,4,,,
,M. Udol LB LM CB CDM,29,80,80,RC Lens 2025 ~ 2028,229236,"178cm 5'10""",79kg 174lbs,Left,€18.5M,€34K,70,72,85,82,76,68,72,79,74,13,12,8,3,2,,,
,M. Sangaré CM CDM,23,80,87,RC Lens 2025 ~ 2030,258601,"181cm 5'11""",72kg 159lbs,Left,€42M,€29K,83,78,85,64,82,80,81,82,74,7,7,7,4,3,,,
,B. André CDM CM,34,80,80,Lille OSC 2019 ~ 2028,190674,"180cm 5'11""",76kg 168lbs,Right,€7M,€36K,54,55,90,79,80,72,79,81,76,8,14,7,3,3,,,
,M. Niakhaté CB,29,80,80,Olympique Lyonnais 2024 ~ 2028,225859,"190cm 6'3""",85kg 187lbs,Left,€17.5M,€27K,60,76,77,84,81,61,77,82,80,9,14,8,3,2,,,
,D. Greif GK,28,80,82,Olympique Lyonnais 2025 ~ 2029,263139,"197cm 6'6""",82kg 181lbs,Right,€18M,€18K,25,22,17,60,14,53,51,11,11,78,76,81,3,1,,,
,L. Hrádecký GK,35,80,80,AS Monaco 2025 ~ 2027,190941,"192cm 6'4""",85kg 187lbs,Right,€2.3M,€15K,38,44,34,55,18,53,45,10,13,82,78,80,3,1,,,
,M. Akliouche CAM RM ST,23,80,86,AS Monaco 2020 ~ 2028,264862,"183cm 6'0""",63kg 139lbs,Left,€33.5M,€35K,75,74,77,58,48,82,81,52,44,8,10,5,3,4,,,
,Lee Kang In RW CM CAM RM,24,80,83,Paris Saint-Germain 2023 ~ 2028,243780,"173cm 5'8""",66kg 146lbs,Left,€29M,€78K,75,69,73,56,55,81,81,55,44,11,12,8,3,4,,,
,Gonçalo Ramos ST,24,80,84,Paris Saint-Germain 2023 ~ 2028,256903,"185cm 6'1""",82kg 181lbs,Right,€30.5M,€79K,73,73,79,79,44,63,75,47,34,15,9,7,4,2,,,
,I. Zabarnyi CB,22,80,85,Paris Saint-Germain 2025 ~ 2030,258781,"189cm 6'2""",80kg 176lbs,Right,€29.5M,€68K,76,84,73,85,79,57,74,82,79,14,11,11,3,2,,,
,B. Samba GK,31,80,80,Stade Rennais FC 2025 ~ 2029,204883,"187cm 6'2""",90kg 198lbs,Left,€11M,€22K,49,60,37,78,18,48,66,14,12,78,80,80,3,1,,,
,V. Rongier CDM CM,30,80,80,Stade Rennais FC 2025 ~ 2028,223874,"174cm 5'9""",67kg 148lbs,Right,€17.5M,€34K,67,58,86,78,78,78,77,80,74,11,8,7,4,3,,,
,L. Balerdi CB,26,80,83,Olympique de Marseille 2021 ~ 2028,242835,"187cm 6'2""",85kg 187lbs,Right,€24.5M,€45K,69,83,69,81,81,70,76,81,79,6,8,15,3,2,,,
,Q. Timber CM CDM CAM,24,80,85,Olympique de Marseille 2026 ~ 2030,251806,"179cm 5'10""",74kg 163lbs,Right,€31.5M,€41K,86,69,79,85,78,78,79,76,70,5,8,11,3,3,,,
,Igor Paixão LM LW,25,80,83,Olympique de Marseille 2025 ~ 2030,271400,"168cm 5'6""",63kg 139lbs,Right,€28M,€45K,85,87,76,68,22,75,74,37,29,8,13,12,2,4,,,
,J. Ryerson RB LB RM,27,80,80,Borussia Dortmund 2023 ~ 2028,229891,"183cm 6'0""",82kg 181lbs,Right,€20.5M,€50K,77,72,83,80,74,63,74,76,80,7,13,7,3,2,,,
,M. Beier ST CAM LM,22,80,84,Borussia Dortmund 2024 ~ 2029,254117,"185cm 6'1""",72kg 159lbs,Right,€31M,€50K,86,86,85,53,45,72,76,39,33,6,8,6,3,3,,,
,T. Kleindienst ST,29,80,80,Borussia Mönchengladbach 2024 ~ 2029,214096,"194cm 6'4""",85kg 187lbs,Left,€21M,€40K,59,74,90,87,52,65,85,39,25,7,8,7,5,2,,,
,F. Honorat RM CAM ST RW,28,80,80,Borussia Mönchengladbach 2023 ~ 2029,220876,"180cm 5'11""",70kg 154lbs,Right,€21M,€37K,81,83,80,56,59,77,75,46,51,10,15,14,3,4,,,
,A. Nübel GK,28,80,81,"VfB Stuttgart Jun 30, 2026 On loan",223885,"193cm 6'4""",86kg 190lbs,Right,€16.5M,€42K,49,46,39,74,20,65,67,14,13,81,75,77,4,1,,,
,E. Demirović ST,27,80,80,VfB Stuttgart 2024 ~ 2028,238900,"185cm 6'1""",84kg 185lbs,Right,€23M,€49K,68,75,80,77,36,78,73,39,42,9,8,7,3,3,,,
,J. Chabot CB,27,80,80,VfB Stuttgart 2024 ~ 2028,239340,"195cm 6'5""",95kg 209lbs,Left,€19.5M,€43K,33,58,76,91,78,40,64,81,81,9,13,8,2,2,,,
,K. Sano CDM CM,24,80,83,1. FSV Mainz 05 2024 ~ 2028,73078,"176cm 5'9""",76kg 168lbs,Right,€26M,€30K,76,81,92,66,88,68,78,79,72,7,11,8,3,2,,,
,N. Amiri CM CAM,28,80,80,1. FSV Mainz 05 2024 ~ 2028,225309,"180cm 5'11""",76kg 168lbs,Right,€21M,€37K,76,56,78,68,69,85,82,65,44,12,12,12,3,4,,,
,M. Amoura ST LW LM CAM,25,80,83,VfL Wolfsburg 2025 ~ 2029,264697,"170cm 5'7""",61kg 134lbs,Right,€28.5M,€56K,94,87,86,45,39,75,79,48,53,9,7,9,3,4,,,
,R. Koch CB,28,80,80,Eintracht Frankfurt 2024 ~ 2030,236532,"192cm 6'4""",85kg 187lbs,Right,€18M,€39K,55,68,77,82,78,64,79,83,75,9,6,8,4,2,,,
,N. Brown LB LM RB,22,80,86,Eintracht Frankfurt 2024 ~ 2030,269701,"176cm 5'9""",60kg 132lbs,Left,€31.5M,€32K,88,79,84,44,75,75,82,79,83,7,6,13,3,4,,,
,D. Doekhi CB,27,80,81,1. FC Union Berlin 2022 ~ 2028,232658,"190cm 6'3""",86kg 190lbs,Right,€21M,€41K,57,68,80,89,76,57,76,81,75,9,9,13,3,2,,,
,B. Henrichs RB RM LB CM,28,80,80,RB Leipzig 2021 ~ 2028,228579,"185cm 6'1""",84kg 185lbs,Right,€19M,€58K,74,73,73,74,77,74,78,81,84,8,9,12,4,3,,,
,N. Seiwald CDM CM CB,24,80,85,RB Leipzig 2023 ~ 2028,257876,"180cm 5'11""",80kg 176lbs,Right,€29M,€48K,74,70,79,74,86,75,71,82,74,5,8,14,3,2,,,
,O. Kossounou CB,24,80,85,Atalanta 2025 ~ 2029,246875,"191cm 6'3""",79kg 174lbs,Right,€29M,€57K,74,84,76,79,80,57,73,82,80,5,8,10,3,2,,,
,F. Kostić LM LB,32,80,80,Juventus 2022 ~ 2029,208574,"184cm 6'0""",84kg 185lbs,Left,€16.5M,€115K,79,82,78,77,69,78,80,74,72,13,14,12,2,3,,,
,T. Koopmeiners CAM CM CB,27,80,80,Juventus 2024 ~ 2029,240679,"183cm 6'0""",77kg 170lbs,Left,€22.5M,€115K,71,70,83,71,78,84,81,74,72,14,8,12,2,3,,,
,P. Kalulu CB RB RM CM,25,80,85,Juventus 2025 ~ 2029,255654,"182cm 6'0""",80kg 176lbs,Right,€28M,€100K,76,83,76,75,82,59,80,83,79,12,5,9,3,2,,,
,A. Cambiaso LB RB LM,25,80,82,Juventus 2022 ~ 2027,258966,"182cm 6'0""",77kg 170lbs,Left,€24.5M,€100K,80,80,78,68,74,79,78,79,76,13,7,13,5,3,,,
,F. Gatti CB,27,80,83,Juventus 2022 ~ 2030,266872,"190cm 6'3""",80kg 176lbs,Right,€24M,€105K,73,78,74,81,79,40,78,81,78,6,11,11,3,2,,,
,R. Loftus-Cheek CM CAM,29,80,80,AC Milan 2023 ~ 2027,213666,"191cm 6'3""",88kg 194lbs,Right,€20.5M,€55K,78,84,72,85,75,79,82,76,70,11,7,15,4,4,,,
,M. Gabbia CB,25,80,83,AC Milan 2017 ~ 2029,240277,"185cm 6'1""",78kg 172lbs,Right,€25M,€48K,43,53,81,70,80,45,70,84,79,11,5,14,3,2,,,
,A. Saelemaekers RM LM RB RW,26,80,80,AC Milan 2020 ~ 2031,242664,"180cm 5'11""",72kg 159lbs,Right,€23M,€53K,83,77,82,54,69,71,75,71,68,9,6,12,4,4,,,
,L. Spinazzola LB LM,32,80,80,Napoli 2024 ~ 2029,202884,"186cm 6'1""",75kg 165lbs,Right,€14.5M,€95K,84,86,69,66,77,76,75,78,74,11,13,15,4,4,,,
,L. Pellegrini CAM CM,29,80,80,Roma 2017 ~ 2030,228251,"186cm 6'1""",77kg 170lbs,Right,€20.5M,€63K,75,74,77,70,67,83,78,74,72,12,7,13,4,3,,,
,D. Malen ST RM RW CAM,26,80,80,"Roma Jun 30, 2026 On loan",231447,"176cm 5'9""",68kg 150lbs,Right,€23.5M,€120K,89,84,69,66,31,71,79,33,35,7,9,10,4,4,,,
,K. Koné CM CDM,24,80,84,Roma 2025 ~ 2029,250723,"185cm 6'1""",80kg 176lbs,Right,€30M,€52K,77,72,82,82,77,75,79,79,71,11,10,9,3,4,,,
,N. Vlašić CAM CM LW,27,80,80,Torino 2023 ~ 2027,241095,"179cm 5'10""",79kg 174lbs,Right,€22.5M,€47K,77,72,76,65,62,81,80,62,37,6,14,9,4,3,,,
,A. Laurienté LW LM,26,80,80,Sassuolo 2022 ~ 2029,243593,"171cm 5'7""",59kg 130lbs,Right,€23M,€30K,93,89,82,51,32,74,76,40,38,13,13,14,3,4,,,
,J. Musso GK,31,80,80,Atlético Madrid 2025 ~ 2028,214979,"191cm 6'3""",93kg 205lbs,Right,€11M,€44K,46,45,35,70,18,48,67,14,16,79,78,81,3,1,,,
,Johnny Cardoso CDM CM,23,80,84,Atlético Madrid 2025 ~ 2030,259516,"185cm 6'1""",78kg 172lbs,Right,€27.5M,€56K,75,74,77,79,83,74,76,80,77,10,14,12,2,3,,,
,Pubill CB RB RM,22,80,87,Atlético Madrid 2025 ~ 2030,266039,"191cm 6'3""",86kg 190lbs,Right,€40M,€56K,77,83,81,83,80,69,80,80,76,15,6,6,3,2,,,
,A. Christensen CB CM CDM,29,80,80,FC Barcelona 2022 ~ 2030,213661,"189cm 6'2""",82kg 181lbs,Right,€17.5M,€90K,68,74,67,76,81,62,79,81,81,10,12,6,3,2,,,
,D. Alaba CB,33,80,80,Real Madrid 2021 ~ 2029,197445,"180cm 5'11""",78kg 172lbs,Left,€10M,€160K,64,72,72,77,82,76,82,83,80,5,7,15,4,3,,,
,Dani Ceballos CM CDM CAM,28,80,80,Real Madrid 2017 ~ 2027,222509,"179cm 5'10""",70kg 154lbs,Right,€21M,€165K,65,57,75,61,76,80,80,75,70,12,15,7,3,4,,,
,A. Lunin GK,26,80,83,Real Madrid 2018 ~ 2030,243952,"191cm 6'3""",83kg 183lbs,Right,€21M,€95K,39,35,32,61,19,60,56,13,11,80,78,79,3,1,,,
,Ruiz de Galarreta CDM CM,31,80,80,Athletic Club 2023 ~ 2027,205157,"175cm 5'9""",69kg 152lbs,Right,€15M,€49K,65,56,82,62,75,82,83,79,77,12,6,7,3,3,,,
,Berenguer RW LM CAM RM,29,80,80,Athletic Club 2020 ~ 2027,225201,"175cm 5'9""",73kg 161lbs,Right,€20.5M,€54K,84,84,80,59,67,79,78,68,58,14,16,6,4,3,,,
,Yeray CB,30,80,80,Athletic Club 2016 ~ 2028,227950,"182cm 6'0""",79kg 174lbs,Right,€17.5M,€49K,63,66,68,76,84,73,79,82,82,12,9,12,3,2,,,
,Jauregizar CM CDM,21,80,86,Athletic Club 2023 ~ 2031,279604,"177cm 5'10""",74kg 163lbs,Right,€33.5M,€36K,76,74,86,75,83,80,77,81,70,6,9,13,4,3,,,
,Diego Llorente CB,31,80,80,Real Betis Balompié 2024 ~ 2028,212602,"186cm 6'1""",75kg 165lbs,Right,€14.5M,€35K,62,62,65,78,82,60,70,83,78,8,12,9,3,2,,,
,Abde LW LM,23,80,84,Real Betis Balompié 2023 ~ 2029,264432,"177cm 5'10""",72kg 159lbs,Right,€30M,€33K,88,88,78,65,18,77,76,32,28,7,5,12,3,4,,,
,Borja Iglesias ST,32,80,80,RC Celta 2025 ~ 2028,224179,"187cm 6'2""",86kg 190lbs,Right,€17M,€40K,59,65,64,84,32,80,83,36,27,14,12,13,3,3,,,
,Mingueza RB LM RM,26,80,81,RC Celta 2022 ~ 2029,259694,"184cm 6'0""",75kg 165lbs,Right,€22.5M,€34K,78,82,82,73,77,78,77,76,75,9,10,8,3,3,,,
,Isi CAM RM ST CM,30,80,80,Rayo Vallecano 2020 ~ 2028,232498,"169cm 5'7""",71kg 157lbs,Left,€20.5M,€33K,84,82,75,64,44,82,80,41,37,11,8,13,3,3,,,
,A. Rațiu RB RM,27,80,81,Rayo Vallecano 2023 ~ 2030,248165,"183cm 6'0""",75kg 165lbs,Right,€22M,€30K,93,95,80,65,74,75,74,75,70,9,11,11,3,4,,,
,Parejo CM CDM,36,80,80,Villarreal CF 2020 ~ 2028,189513,"182cm 6'0""",74kg 163lbs,Right,€6.5M,€36K,39,38,65,68,79,87,85,73,74,5,9,14,4,3,,,
,P. Gueye CM CDM,26,80,81,Villarreal CF 2024 ~ 2028,241707,"189cm 6'2""",79kg 174lbs,Left,€24.5M,€45K,70,73,83,82,80,80,76,80,74,12,12,14,3,2,,,
,David Soria GK,32,80,80,Getafe CF 2018 ~ 2030,223952,"192cm 6'4""",85kg 187lbs,Right,€10.5M,€27K,46,34,43,76,21,49,61,13,13,80,79,80,3,1,,,
,M. Arambarri CM CDM CAM,29,80,80,Getafe CF 2018 ~ 2028,232665,"175cm 5'9""",71kg 157lbs,Right,€20.5M,€43K,68,70,88,76,79,78,74,82,76,7,13,15,3,3,,,
,Kepa GK,30,79,79,Arsenal 2025 ~ 2028,206585,"189cm 6'2""",89kg 196lbs,Right,€11.5M,€76K,38,42,35,55,20,60,62,17,18,77,78,77,4,1,,,
,J. Sancho LM RM LW,25,79,80,"Aston Villa Jun 30, 2026 On loan",233049,"180cm 5'11""",76kg 168lbs,Right,€21M,€80K,81,77,57,58,33,80,83,35,25,7,11,11,3,5,,,
,Douglas Luiz CDM CM,27,79,79,"Aston Villa Jun 30, 2026 On loan",236499,"175cm 5'9""",66kg 146lbs,Right,€16.5M,€100K,69,66,75,65,76,82,84,78,72,12,6,10,2,3,,,
,I. Maatsen LB LM,23,79,84,Aston Villa 2024 ~ 2029,248465,"178cm 5'10""",68kg 150lbs,Left,€24.5M,€85K,88,87,74,52,76,72,76,72,78,9,10,15,2,3,,,
,Estêvão RM RW,18,79,89,Chelsea 2025 ~ 2033,76687,"178cm 5'10""",71kg 157lbs,Left,€37M,€71K,91,89,67,49,34,75,80,34,27,9,15,6,3,4,,,
,W. Fofana CB,24,79,82,Chelsea 2022 ~ 2029,248695,"185cm 6'1""",84kg 185lbs,Right,€21.5M,€90K,76,78,67,81,81,60,76,81,80,14,12,14,3,2,,,
,M. Gusto RB RM,22,79,84,Chelsea 2023 ~ 2030,259307,"178cm 5'10""",74kg 163lbs,Right,€25M,€90K,87,81,85,68,76,74,76,76,75,10,6,8,3,3,,,
,I. Gueye CDM CM,35,79,79,Everton 2022 ~ 2028,193474,"174cm 5'9""",66kg 146lbs,Right,€4.9M,€35K,66,55,82,58,83,71,75,84,80,8,6,12,3,3,,,
,J. Branthwaite CB,23,79,85,Everton 2020 ~ 2030,247649,"195cm 6'5""",74kg 163lbs,Left,€25M,€39K,65,75,72,82,78,52,76,81,82,10,9,12,5,2,,,
,A. Stach CM CDM,26,79,80,Leeds United 2025 ~ 2029,257191,"194cm 6'4""",88kg 194lbs,Right,€20.5M,€64K,68,71,82,79,85,79,80,79,78,7,14,7,4,3,,,
,J. Gomez CB RB LB RM,28,79,79,Liverpool 2015 ~ 2027,225100,"188cm 6'2""",77kg 170lbs,Right,€15M,€95K,72,76,57,78,79,65,75,81,78,8,13,7,3,3,,,
,W. Endo CDM CM,32,79,79,Liverpool 2023 ~ 2027,232487,"178cm 5'10""",76kg 168lbs,Right,€11.5M,€95K,66,52,77,67,78,75,79,79,73,9,13,11,4,3,,,
,C. Bradley RB RM,21,79,84,Liverpool 2020 ~ 2029,264298,"181cm 5'11""",75kg 165lbs,Right,€25M,€66K,82,82,84,65,76,69,68,78,76,15,9,5,3,3,,,
,L. Shaw LB CB LM,29,79,79,Manchester United 2014 ~ 2027,205988,"181cm 5'11""",75kg 165lbs,Left,€15.5M,€83K,68,67,67,77,79,77,76,79,78,10,12,7,2,3,,,
,K. Mainoo CDM CM,20,79,85,Manchester United 2022 ~ 2031,269136,"181cm 5'11""",80kg 176lbs,Right,€25M,€58K,70,66,77,73,76,79,82,78,79,14,11,5,3,3,,,
,K. Trippier RB RM,34,79,79,Newcastle United 2021 ~ 2028,186345,"173cm 5'8""",71kg 157lbs,Right,€6.5M,€110K,65,62,74,66,78,80,78,79,78,11,14,11,4,3,,,
,N. Pope GK,33,79,79,Newcastle United 2022 ~ 2027,203841,"199cm 6'6""",90kg 198lbs,Right,€5.5M,€71K,50,44,34,73,23,50,63,15,14,80,79,77,3,1,,,
,J. Murphy RW RM,30,79,79,Newcastle United 2017 ~ 2027,206085,"179cm 5'10""",74kg 163lbs,Right,€17M,€120K,79,83,80,66,65,81,77,65,55,13,16,10,4,3,,,
,A. Elanga RW RM,23,79,82,Newcastle United 2025 ~ 2030,257470,"178cm 5'10""",70kg 154lbs,Right,€24M,€105K,93,91,75,72,31,76,77,38,33,13,5,8,5,3,,,
,S. Ortega GK,32,79,79,Nottingham Forest 2026 ~ 2029,200159,"185cm 6'1""",88kg 194lbs,Right,€8.5M,€58K,51,53,33,73,27,66,56,12,15,78,77,78,4,1,,,
,Richarlison ST LW LM,28,79,79,Tottenham Hotspur 2022 ~ 2027,231943,"184cm 6'0""",83kg 183lbs,Right,€18M,€110K,77,75,68,74,46,74,79,58,48,12,7,11,4,4,,,
,R. Kolo Muani ST RM CAM,26,79,80,"Tottenham Hotspur Jun 30, 2026 On loan",237679,"187cm 6'2""",73kg 161lbs,Right,€21M,€85K,89,90,74,69,38,76,78,33,32,7,14,8,4,3,,,
,K. Danso CB,26,79,82,Tottenham Hotspur 2025 ~ 2030,237985,"190cm 6'3""",89kg 196lbs,Right,€20.5M,€90K,65,79,66,90,77,52,72,80,76,12,13,11,3,2,,,
,C. Gallagher CM CDM CAM,25,79,81,Tottenham Hotspur 2026 ~ 2031,238216,"182cm 6'0""",77kg 170lbs,Right,€22M,€90K,72,77,85,78,80,78,81,80,79,7,6,9,4,3,,,
,D. Spence LB RB LM,24,79,83,Tottenham Hotspur 2022 ~ 2029,243702,"184cm 6'0""",71kg 157lbs,Right,€23.5M,€80K,87,88,76,75,74,72,78,77,75,13,8,11,4,3,,,
,D. Udogie LB LM,22,79,83,Tottenham Hotspur 2022 ~ 2030,259583,"186cm 6'1""",73kg 161lbs,Left,€24M,€80K,86,89,75,77,78,75,78,76,74,8,14,10,3,3,,,
,A. Wan-Bissaka RB RM,27,79,79,West Ham United 2024 ~ 2031,229880,"183cm 6'0""",72kg 159lbs,Right,€17M,€68K,79,79,75,71,79,68,78,79,88,9,8,8,2,3,,,
,T. Castellanos ST,26,79,80,West Ham United 2026 ~ 2030,237712,"178cm 5'10""",70kg 154lbs,Right,€21M,€77K,78,73,78,65,39,79,81,40,39,15,6,12,3,3,,,
,Mateus Fernandes CM CAM CDM,20,79,85,West Ham United 2025 ~ 2030,270857,"178cm 5'10""",72kg 159lbs,Right,€27M,€52K,73,67,83,62,75,80,78,77,74,6,5,8,4,4,,,
,B. Leno GK,33,79,79,Fulham FC 2022 ~ 2027,192563,"189cm 6'2""",83kg 183lbs,Right,€5.5M,€55K,54,51,44,70,25,53,63,15,18,78,79,80,3,1,,,
,J. Andersen CB,29,79,79,Fulham FC 2024 ~ 2029,224221,"192cm 6'4""",90kg 198lbs,Right,€14.5M,€83K,40,48,74,87,79,69,78,81,78,13,7,15,4,2,,,
,S. Berge CDM CM CB,27,79,80,Fulham FC 2024 ~ 2029,228092,"195cm 6'5""",96kg 212lbs,Right,€18M,€80K,54,65,81,89,75,76,78,76,72,14,9,8,3,2,,,
,S. Chukwueze RM LM RW,26,79,79,"Fulham FC Jun 30, 2026 On loan",246172,"172cm 5'8""",70kg 154lbs,Left,€19M,€50K,89,86,62,58,33,76,72,32,33,13,7,7,2,4,,,
,T. Mitchell LB LM,25,79,81,Crystal Palace 2017 ~ 2027,240947,"175cm 5'9""",66kg 146lbs,Left,€20M,€76K,74,75,85,65,79,72,74,81,78,9,12,8,3,2,,,
,C. Richards CB,25,79,81,Crystal Palace 2022 ~ 2027,250954,"188cm 6'2""",87kg 192lbs,Right,€19.5M,€76K,64,67,71,81,80,55,61,81,82,13,5,7,3,2,,,
,B. Johnson RW RM LW,24,79,82,Crystal Palace 2026 ~ 2030,251421,"186cm 6'1""",73kg 161lbs,Right,€24M,€78K,87,85,75,52,23,77,78,45,53,14,7,5,4,3,,,
,Yeremy Pino LW RW CAM LM,22,79,86,Crystal Palace 2025 ~ 2030,259377,"172cm 5'8""",65kg 143lbs,Right,€35.5M,€78K,78,75,69,44,29,81,68,48,41,9,7,6,4,3,,,
,F. Kadıoğlu LB RB LM,25,79,81,Brighton & Hove Albion 2024 ~ 2028,235152,"174cm 5'9""",68kg 150lbs,Right,€20M,€81K,85,84,79,58,75,73,73,77,77,10,13,11,4,3,,,
,M. De Cuyper LB LM,24,79,83,Brighton & Hove Albion 2025 ~ 2030,251479,"182cm 6'0""",72kg 159lbs,Left,€23.5M,€74K,78,75,87,67,75,81,82,76,75,11,8,7,4,2,,,
,Y. Ayari CDM CM,21,79,85,Brighton & Hove Albion 2023 ~ 2027,257400,"172cm 5'8""",69kg 152lbs,Right,€26M,€62K,69,69,79,51,78,79,79,78,77,9,11,7,3,3,,,
,J. Henderson CDM CM,35,79,79,Brentford 2025 ~ 2027,183711,"182cm 6'0""",80kg 176lbs,Right,€4.9M,€56K,62,67,72,77,78,78,78,76,74,7,13,9,3,3,,,
,M. Jensen CM CDM CAM,29,79,79,Brentford 2019 ~ 2030,229723,"180cm 5'11""",68kg 150lbs,Right,€17M,€79K,64,63,76,68,75,82,79,73,66,5,13,8,4,3,,,
,C. Kelleher GK,26,79,82,Brentford 2025 ~ 2030,240913,"188cm 6'2""",81kg 179lbs,Right,€17.5M,€46K,45,39,19,71,12,56,66,10,14,77,76,78,4,1,,,
,N. Collins CB,24,79,82,Brentford 2023 ~ 2029,248484,"193cm 6'4""",81kg 179lbs,Right,€21.5M,€62K,55,68,78,83,79,50,75,79,80,9,10,13,3,2,,,
,K. Schade LM LW ST,23,79,83,Brentford 2023 ~ 2028,260926,"185cm 6'1""",74kg 163lbs,Right,€25M,€66K,93,92,72,73,23,76,78,30,23,13,11,9,4,3,,,
,T. Adams CDM CM,26,79,81,AFC Bournemouth 2023 ~ 2028,232999,"175cm 5'9""",72kg 159lbs,Right,€19.5M,€72K,85,74,79,69,83,72,77,82,79,6,13,8,3,3,,,
,J. Kluivert CAM LM CM,26,79,80,AFC Bournemouth 2023 ~ 2028,236920,"172cm 5'8""",67kg 148lbs,Right,€20.5M,€77K,89,86,76,53,34,78,72,45,30,5,6,7,4,4,,,
,B. Diakité CB,24,79,84,AFC Bournemouth 2025 ~ 2030,246565,"184cm 6'0""",82kg 181lbs,Right,€24M,€62K,66,78,78,80,77,59,76,81,80,7,10,13,4,2,,,
,Evanilson ST,25,79,80,AFC Bournemouth 2024 ~ 2029,256612,"183cm 6'0""",80kg 176lbs,Right,€21.5M,€79K,75,76,74,78,37,70,78,41,26,13,11,14,4,3,,,
