Unnamed: 0,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,Unnamed: 9
,I. Moriba CM CDM,22,78,83,RC Celta 2025 ~ 2029,€21.5M,€26K,2083,
,Maffeo RB RM RW,27,78,78,RCD Mallorca 2022 ~ 2027,€13.5M,€32K,1979,
,Samú Costa CDM CM,24,78,82,RCD Mallorca 2023 ~ 2028,€18.5M,€28K,1982,
,Guedes LW RM ST LM,28,78,78,Real Sociedad 2025 ~ 2028,€14M,€43K,2000,
,Carlos Soler CM CAM CDM,28,78,78,Real Sociedad 2025 ~ 2029,€14M,€41K,2137,
,Brais Méndez CM CAM ST CDM,28,78,78,Real Sociedad 2022 ~ 2028,€14M,€41K,2127,
,Sergio Gómez LB LM,24,78,81,Real Sociedad 2024 ~ 2030,€18M,€32K,2154,
,Barrenetxea LW LM RM,23,78,83,Real Sociedad 2018 ~ 2030,€21M,€37K,1981,
,Aleix Febas CM CDM,29,78,78,Elche CF 2023 ~ 2028,€13.5M,€28K,2028,
,Víctor Muñoz LW LM RW,21,78,86,CA Osasuna 2025 ~ 2030,€31.5M,€28K,1937,
,Rubén García RM RW RB,31,78,78,CA Osasuna 2019 ~ 2029,€11.5M,€37K,1991,
,Javi Galán LB LM,30,78,78,CA Osasuna 2026 ~ 2028,€12M,€35K,2052,
,V. Rosier RB RM RW,28,78,78,CA Osasuna 2025 ~ 2028,€12.5M,€35K,2016,
,Catena CB,30,78,78,CA Osasuna 2023 ~ 2028,€11.5M,€35K,1739,
,Pep Chavarría LB LM,27,78,78,Rayo Vallecano 2022 ~ 2030,€13.5M,€26K,2094,
,R. Vargas LW CAM RW LM,26,78,78,Sevilla FC 2025 ~ 2029,€15.5M,€36K,2039,
,Luiz Júnior GK,24,78,82,Villarreal CF 2024 ~ 2030,€16M,€19K,1079,
,Renato Veiga CB,21,78,83,Villarreal CF 2025 ~ 2032,€19.5M,€27K,2099,
,S. Mouriño RB CB CDM,23,78,85,Villarreal CF 2025 ~ 2030,€27M,€32K,1881,
,P. Gazzaniga GK,33,78,78,Girona FC 2023 ~ 2027,€4.6M,€22K,1447,
,V. Tsygankov RW RM,27,78,78,Girona FC 2023 ~ 2027,€15M,€36K,1983,
,Arnau Martínez RB LB CM,22,78,83,Girona FC 2020 ~ 2027,€20M,€28K,1980,
,Aarón Escandell GK,29,78,79,Real Oviedo 2024 ~ 2027,€11M,€23K,1373,
,Cristhian Mosquera CB,21,77,85,Arsenal 2025 ~ 2030,€22M,€69K,1775,
,R. Barkley CM CAM CDM,31,77,77,Aston Villa 2024 ~ 2027,€8.5M,€90K,2014,
,T. Abraham ST,27,77,77,Aston Villa 2026 ~ 2030,€11.5M,€95K,1865,
,F. Jörgensen GK,23,77,83,Chelsea 2024 ~ 2031,€13.5M,€45K,1231,
,L. Delap ST,22,77,83,Chelsea 2025 ~ 2031,€17M,€89K,1884,
,M. Sarr CB,19,77,84,Chelsea 2025 ~ 2033,€19M,€61K,1645,
,D. McNeil LM RM CAM LW,25,77,78,Everton 2022 ~ 2027,€12.5M,€38K,2018,
,V. Mykolenko LB LM,26,77,78,Everton 2022 ~ 2028,€11.5M,€38K,1965,
,D. Calvert-Lewin ST,28,77,77,Leeds United 2025 ~ 2028,€11M,€62K,1889,
,J. Rodon CB,27,77,78,Leeds United 2024 ~ 2028,€10.5M,€52K,1730,
,G. Gudmundsson LB CB LM,26,77,78,Leeds United 2025 ~ 2029,€11.5M,€52K,2009,
,J. Bijol CB,26,77,79,Leeds United 2025 ~ 2030,€11.5M,€52K,1889,
,J. Trafford GK,22,77,84,Manchester City 2025 ~ 2030,€18.5M,€44K,1333,
,R. Lewis RB LB CM,20,77,84,Manchester City 2022 ~ 2030,€20M,€65K,1939,
,J. Zirkzee ST CAM,24,77,82,Manchester United 2024 ~ 2029,€16M,€68K,1977,
,P. Dorgu LM LB RM LW,20,77,84,Manchester United 2025 ~ 2030,€21M,€52K,2051,
,A. Ramsdale GK,27,77,79,"Newcastle United Jun 30, 2026 On loan",€9.5M,€34K,1388,
,J. Ramsey CM LW CAM,24,77,81,Newcastle United 2025 ~ 2030,€15M,€81K,2084,
,Igor Jesus ST,24,77,81,Nottingham Forest 2025 ~ 2029,€15.5M,€72K,1872,
,D. Ndoye LM RM ST LW,24,77,80,Nottingham Forest 2025 ~ 2030,€14.5M,€66K,2035,
,M. Tel ST LW LM CAM,20,77,85,Tottenham Hotspur 2025 ~ 2031,€23.5M,€68K,1912,
,A. Gray CDM CB RB CM,19,77,86,Tottenham Hotspur 2024 ~ 2030,€21.5M,€53K,2004,
,W. Odobert LW LM RM,20,77,84,Tottenham Hotspur 2024 ~ 2029,€21M,€66K,1799,
,C. Wilson ST,33,77,77,West Ham United 2025 ~ 2029,€6.5M,€68K,1915,
,A. Disasi CB RB,27,77,78,"West Ham United Jun 30, 2026 On loan",€10.5M,€89K,1730,
,K. Mavropanos CB,27,77,77,West Ham United 2023 ~ 2028,€9.5M,€57K,1772,
,B. Brobbey ST,23,77,83,Sunderland 2025 ~ 2030,€17M,€52K,1840,
,H. Diarra CM CAM CDM,21,77,83,Sunderland 2025 ~ 2030,€17M,€40K,2005,
,R. Sessegnon LB LM,25,77,79,Fulham FC 2024 ~ 2027,€12M,€65K,2029,
,E. Smith Rowe CAM CM LM,24,77,80,Fulham FC 2024 ~ 2029,€14.5M,€63K,1952,
,K. Walker RB CM,35,77,77,Burnley 2025 ~ 2027,€3.2M,€40K,2098,
,J. Cullen CDM CM,29,77,77,Burnley 2022 ~ 2027,€9M,€55K,2031,
,Florentino CDM CM,25,77,78,"Burnley Jun 30, 2026 On loan",€11M,€18K,1919,
,W. Hughes CDM CM,30,77,77,Crystal Palace 2021 ~ 2027,€9M,€71K,1985,
,J. Lerma CDM CM CB,30,77,77,Crystal Palace 2023 ~ 2030,€9M,€71K,2092,
,J. Strand Larsen ST,25,77,80,Crystal Palace 2026 ~ 2030,€14M,€74K,1854,
,C. Doucouré CDM CM CB,25,77,78,Crystal Palace 2022 ~ 2029,€11M,€65K,1907,
,L. Dunk CB,33,77,77,Brighton & Hove Albion 2010 ~ 2027,€5M,€76K,1791,
,M. O'Riley CAM CM CDM,24,77,81,Brighton & Hove Albion 2024 ~ 2029,€15M,€67K,2110,
,G. Rutter CAM ST,23,77,83,Brighton & Hove Albion 2024 ~ 2029,€16.5M,€67K,2091,
,D. Gómez CDM CM LM,22,77,84,Brighton & Hove Albion 2025 ~ 2030,€20M,€62K,2092,
,V. Janelt CDM CM,27,77,78,Brentford 2020 ~ 2030,€11M,€61K,2013,
,S. van den Berg CB,23,77,83,Brentford 2024 ~ 2029,€15M,€53K,1795,
,Y. Yarmoliuk CDM CM,21,77,83,Brentford 2022 ~ 2031,€15.5M,€45K,1991,
,A. Adli ST LM CAM,25,77,80,AFC Bournemouth 2025 ~ 2030,€14M,€67K,1988,
,Álex Jiménez RB RM,20,77,84,AFC Bournemouth 2026 ~ 2031,€20M,€45K,1971,
,W. Saïd LW ST LM,30,77,77,RC Lens 2021 ~ 2030,€10M,€30K,1876,
,A. Saint-Maximin LW LM,28,77,77,RC Lens 2026 ~ 2030,€10.5M,€30K,1891,
,J. Gradit CB,32,77,77,RC Lens 2019 ~ 2028,€7M,€27K,1768,
,R. Aguilar RB RM,32,77,77,RC Lens 2023 ~ 2030,€7.5M,€27K,1951,
,O. Édouard ST,27,77,77,RC Lens 2025 ~ 2028,€11.5M,€30K,1913,
,A. Mandi CB RB,33,77,77,Lille OSC 2024 ~ 2029,€5M,€29K,1897,
,T. Meunier RB RM,33,77,77,Lille OSC 2024 ~ 2029,€5.5M,€29K,2091,
,N. Bentaleb CDM CM,30,77,77,Lille OSC 2023 ~ 2030,€9M,€29K,2058,
,G. Perrin RM LM RW,29,77,77,Lille OSC 2026 ~ 2028,€10.5M,€30K,1942,
,A. Maitland-Niles RB RM CM,27,77,77,Olympique Lyonnais 2023 ~ 2027,€10M,€21K,2050,
,P. Pogba CM CDM CAM,32,77,77,AS Monaco 2025 ~ 2027,€8.5M,€33K,2067,
,Caio Henrique LB LM,27,77,77,AS Monaco 2020 ~ 2027,€10M,€30K,2024,
,P. Köhn GK,27,77,80,AS Monaco 2023 ~ 2028,€10.5M,€19K,1169,
,M. Salisu CB,26,77,80,AS Monaco 2023 ~ 2028,€12M,€30K,1630,
,Vanderson RB RM,24,77,83,AS Monaco 2022 ~ 2028,€15.5M,€26K,2033,
,M. Biereth ST,22,77,84,AS Monaco 2025 ~ 2030,€21.5M,€30K,1865,
,Y. Diouf GK,25,77,82,OGC Nice 2025 ~ 2030,€12.5M,€15K,1185,
,C. Vanhoutte CDM CM,26,77,80,OGC Nice 2025 ~ 2029,€12.5M,€26K,2018,
,M. Bard LB LM CB,24,77,81,OGC Nice 2021 ~ 2028,€14M,€22K,1950,
,S. Mayulu CM ST CDM,19,77,86,Paris Saint-Germain 2024 ~ 2027,€22.5M,€46K,1964,
,B. Embolo ST,28,77,77,Stade Rennais FC 2025 ~ 2029,€11M,€31K,1992,
,S. Szymański CAM CM RW,26,77,78,Stade Rennais FC 2026 ~ 2029,€12.5M,€28K,2066,
,M. Camara CM CDM CAM,27,77,78,Stade Rennais FC 2025 ~ 2029,€12M,€27K,2047,
,B. Chilwell LB LM,28,77,77,RC Strasbourg Alsace 2025 ~ 2027,€9.5M,€49K,2031,
,I. Doukouré CB CDM CM,21,77,83,RC Strasbourg Alsace 2022 ~ 2028,€15.5M,€34K,1797,
,M. Penders GK,19,77,86,"RC Strasbourg Alsace Jun 30, 2026 On loan",€19.5M,€28K,1230,
,J. Panichelli ST,22,77,85,RC Strasbourg Alsace 2025 ~ 2030,€24M,€47K,1860,
,G. Doué RB CB RM,22,77,82,RC Strasbourg Alsace 2024 ~ 2029,€15M,€40K,1943,
,G. Kondogbia CDM CB CM,32,77,77,Olympique de Marseille 2023 ~ 2027,€7M,€38K,2003,
,Emerson LB LM,30,77,77,Olympique de Marseille 2025 ~ 2027,€9M,€38K,2057,
,H. Traoré LM CAM LW,25,77,78,"Olympique de Marseille Jun 30, 2026 On loan",€12.5M,€61K,1990,
,T. Weah RM RB LM,25,77,78,"Olympique de Marseille Jun 30, 2026 On loan",€12.5M,€86K,2096,
,A. Vermeeren CM CDM,20,77,86,"Olympique de Marseille Jun 30, 2026 On loan",€23M,€35K,1944,
,B. Chardonnet CB,30,77,77,Stade Brestois 29 2014 ~ 2027,€8.5M,€25K,1745,
,L. Ajorque ST,31,77,77,Stade Brestois 29 2024 ~ 2027,€9M,€28K,1850,
,C. Cresswell CB,22,77,83,Toulouse FC 2024 ~ 2028,€15.5M,€21K,1628,
,C. Immobile ST CAM,35,77,77,Paris FC 2026 ~ 2028,€4.5M,€39K,1930,
,H. Traoré RB RM,33,77,77,Paris FC 2025 ~ 2027,€5.5M,€45K,1998,
,P. Lees-Melou CDM CM,32,77,77,Paris FC 2025 ~ 2027,€7M,€45K,2041,
,I. Kebbal RW RM CAM,26,77,77,Paris FC 2023 ~ 2028,€11.5M,€48K,1834,
,J. Urbig GK,21,77,85,FC Bayern München 2025 ~ 2029,€20.5M,€18K,1144,
,Yan Couto RB RM,23,77,81,Borussia Dortmund 2025 ~ 2030,€14M,€34K,2010,
,J. Bellingham CM CDM,19,77,83,Borussia Dortmund 2025 ~ 2030,€16M,€29K,2110,
,M. Nicolas GK,27,77,79,Borussia Mönchengladbach 2016 ~ 2029,€9.5M,€18K,1146,
,R. Hack LM ST CAM LW,26,77,77,Borussia Mönchengladbach 2023 ~ 2029,€11.5M,€29K,1885,
,R. Reitz CM CDM RM,23,77,83,Borussia Mönchengladbach 2020 ~ 2028,€16.5M,€25K,2074,
,J. Manzambi CM CDM CAM,19,77,86,SC Freiburg 2024 ~ 2030,€22.5M,€20K,2027,
,Fábio Vieira CM CAM RW CDM,25,77,81,"Hamburger SV Jun 30, 2026 On loan",€14.5M,€95K,1983,
,J. Kamiński LM CAM LW LB,23,77,82,"1. FC Köln Jun 30, 2026 On loan",€16M,€37K,1933,
,Lucas Vázquez RB RM,34,77,77,Bayer 04 Leverkusen 2025 ~ 2027,€3.9M,€62K,2108,
,J. Hofmann CAM ST CM,32,77,77,Bayer 04 Leverkusen 2023 ~ 2027,€8.5M,€66K,2065,
,C. Führich LM LW CAM,27,77,77,VfB Stuttgart 2021 ~ 2028,€11M,€36K,1955,
,M. Friedl CB LB,27,77,79,SV Werder Bremen 2019 ~ 2027,€11M,€27K,1865,
,R. Zentner GK,30,77,77,1. FSV Mainz 05 2017 ~ 2028,€7M,€19K,1229,
,J. Mæhle LB RB LM,28,77,77,VfL Wolfsburg 2023 ~ 2027,€9.5M,€43K,1974,
,L. Majer CAM CM RM,27,77,77,VfL Wolfsburg 2023 ~ 2028,€11M,€44K,2074,
,P. Wimmer LM CAM CM LW,24,77,83,VfL Wolfsburg 2022 ~ 2027,€16.5M,€37K,1949,
,E. Skhiri CDM CM CB,30,77,77,Eintracht Frankfurt 2023 ~ 2027,€9M,€31K,2072,
,A. Knauff LM CAM RM LW,23,77,81,Eintracht Frankfurt 2023 ~ 2028,€15M,€27K,1947,
,H. Larsson CM CDM,21,77,85,Eintracht Frankfurt 2023 ~ 2029,€23.5M,€23K,2048,
,L. Querfeld CB,21,77,84,1. FC Union Berlin 2024 ~ 2029,€20M,€24K,1741,
,B. Touré LM CAM LW,19,77,86,TSG 1899 Hoffenheim 2025 ~ 2029,€23M,€24K,1744,
,G. Prömel CM CDM,30,77,77,TSG 1899 Hoffenheim 2022 ~ 2030,€10M,€36K,2058,
,W. Burger CM CDM,24,77,79,TSG 1899 Hoffenheim 2025 ~ 2030,€13.5M,€30K,2051,
,A. Hložek ST RM CAM,22,77,83,TSG 1899 Hoffenheim 2024 ~ 2029,€17M,€33K,1951,
,L. Avdullahu CDM CM CB,21,77,83,TSG 1899 Hoffenheim 2025 ~ 2028,€15.5M,€24K,1940,
,J. Gouweleeuw CB,33,77,77,FC Augsburg 2016 ~ 2027,€5M,€34K,1948,
,C. Matsima CB,23,77,85,FC Augsburg 2025 ~ 2030,€22M,€28K,1654,
,M. Vandevoordt GK,23,77,85,RB Leipzig 2024 ~ 2030,€20M,€23K,1261,
,J. Bakayoko RW RM,22,77,84,RB Leipzig 2025 ~ 2030,€21.5M,€44K,1864,
,R. Bellanova RM RB RW,25,77,78,Atalanta 2024 ~ 2029,€12.5M,€53K,1909,
,L. Samardžić CAM CM,23,77,82,Atalanta 2025 ~ 2029,€16M,€50K,1959,
,N. Zalewski LM CAM RM LW,23,77,79,Atalanta 2025 ~ 2029,€13.5M,€49K,2008,
,P. Sučić CM CAM CDM,21,77,83,Inter 2025 ~ 2028,€17M,€22K,2053,
,A. Marušić RB LB RM,32,77,77,Lazio 2017 ~ 2030,€7.5M,€32K,2051,
,S. Pavlović CB,24,77,83,AC Milan 2024 ~ 2028,€15M,€35K,1789,
,A. Jashari CDM CM,22,77,86,AC Milan 2025 ~ 2030,€22.5M,€35K,2076,
,M. Olivera LB CB LM CM,27,77,77,Napoli 2022 ~ 2027,€10M,€73K,1905,
,E. Elmas CAM CM LM,25,77,77,"Napoli Jun 30, 2026 On loan",€11.5M,€46K,2018,
,K. Tsimikas LB LM,29,77,77,"Roma Jun 30, 2026 On loan",€9.5M,€80K,2042,
,Bryan Zaragoza LW LM CAM,23,77,83,"Roma Jun 30, 2026 On loan",€16.5M,€49K,1829,
,C. Biraghi LB LM,32,77,77,Torino 2025 ~ 2027,€7.5M,€38K,2121,
,J. Odgaard CAM CM,26,77,78,Bologna 2024 ~ 2027,€12.5M,€46K,1956,
,João Mário RB RM,25,77,80,"Bologna Jun 30, 2026 On loan",€13M,€82K,2013,
,S. Castro ST,20,77,84,Bologna 2024 ~ 2028,€21M,€37K,1915,
,Jesús Rodríguez LM RM LW,19,77,85,Como 2025 ~ 2029,€23M,€52K,1853,
,N. Kühn RW RM LM,25,77,78,Como 2025 ~ 2029,€12.5M,€77K,2008,
,M. Solomon LM RW LW,25,77,77,"Fiorentina Jun 30, 2026 On loan",€11.5M,€78K,1867,
,N. Matić CDM CM,36,77,77,Sassuolo 2025 ~ 2028,€2.1M,€17K,1948,
,C. Lenglet CB,30,77,77,Atlético Madrid 2025 ~ 2028,€8.5M,€55K,1835,
,N. Molina RB CDM,27,77,77,Atlético Madrid 2022 ~ 2027,€10M,€52K,2065,
,Fran García LB LM,25,77,80,Real Madrid 2023 ~ 2027,€13M,€115K,1945,
,F. Mastantuono RM RW,17,77,87,Real Madrid 2025 ~ 2031,€22M,€66K,1984,
,Beñat Prados CDM CM CB,24,77,82,Athletic Club 2019 ~ 2031,€14.5M,€32K,2011,
,Pau López GK,30,77,77,Real Betis Balompié 2025 ~ 2028,€7M,€18K,1394,
,Aitor Ruibal RM RB LM,29,77,77,Real Betis Balompié 2016 ~ 2028,€10.5M,€29K,2064,
,Fidalgo CM CAM CDM,28,77,77,Real Betis Balompié 2026 ~ 2030,€10.5M,€29K,2030,
,Álvaro Valles GK,27,77,79,Real Betis Balompié 2025 ~ 2030,€9.5M,€17K,1202,
,Altimira CDM CM,23,77,83,Real Betis Balompié 2023 ~ 2029,€15.5M,€23K,1978,
,Edu Expósito CAM CM CDM,28,77,77,RCD Espanyol 2022 ~ 2027,€10.5M,€25K,2108,
,Puado LW ST CAM LM,27,77,77,RCD Espanyol 2017 ~ 2030,€11M,€25K,2022,
,J. Mojica LB LM,32,77,77,RCD Mallorca 2024 ~ 2027,€7.5M,€31K,2048,
,M. Valjent CB,29,77,77,RCD Mallorca 2019 ~ 2029,€9M,€31K,1786,
,Leo Román GK,24,77,83,RCD Mallorca 2020 ~ 2030,€13.5M,€15K,1206,
,Gorrotxa CDM CM,22,77,85,Real Sociedad 2024 ~ 2027,€22.5M,€30K,1970,
,Zubeldia CB,28,77,78,Real Sociedad 2015 ~ 2029,€10M,€36K,2050,
,J. Aramburu RB,22,77,83,Real Sociedad 2023 ~ 2030,€16M,€30K,1978,
,Jon Martín CB,19,77,86,Real Sociedad 2023 ~ 2030,€21M,€24K,1671,
,S. Dimitrievski GK,31,77,77,Valencia CF 2024 ~ 2029,€5.5M,€24K,1223,
,Gayà LB LM,30,77,77,Valencia CF 2012 ~ 2027,€9M,€36K,2046,
,Luis Rioja RM LM RW,31,77,77,Valencia CF 2024 ~ 2027,€8.5M,€38K,1967,
,Hugo Duro ST,25,77,79,Valencia CF 2022 ~ 2028,€13.5M,€38K,1995,
,Diego López LW RM ST LM,23,77,82,Valencia CF 2021 ~ 2029,€16M,€34K,1912,
,L. Boyé ST,29,77,77,Deportivo Alavés 2025 ~ 2029,€10.5M,€33K,2018,
,Sivera GK,28,77,79,Deportivo Alavés 2017 ~ 2027,€9M,€19K,1313,
,Toni Martínez ST,28,77,77,Deportivo Alavés 2024 ~ 2028,€11M,€33K,1848,
,N. Tenaglia CB RB LB,29,77,77,Deportivo Alavés 2023 ~ 2027,€9M,€29K,1902,
,Aitor Fernández GK,34,77,77,CA Osasuna 2022 ~ 2027,€1.8M,€22K,1282,
,Lucas Torró CDM CM,30,77,77,CA Osasuna 2020 ~ 2027,€9M,€33K,1924,
,Moncayola CM CDM RM,27,77,77,CA Osasuna 2017 ~ 2031,€11M,€33K,2049,
,Aimar Oroz CAM CM LM,23,77,82,CA Osasuna 2022 ~ 2029,€16M,€29K,2041,
,A. Mumin CB,27,77,79,Rayo Vallecano 2022 ~ 2028,€11M,€24K,1878,
,Óscar Valentín CDM CM,30,77,77,Rayo Vallecano 2019 ~ 2027,€9M,€25K,1895,
,P. Ciss CDM CM CB,31,77,77,Rayo Vallecano 2021 ~ 2027,€7.5M,€25K,1883,
,Carmona RB CB LB CM,23,77,83,Sevilla FC 2020 ~ 2028,€15.5M,€26K,2039,
,L. Costa CB,24,77,83,Villarreal CF 2024 ~ 2030,€15M,€30K,1727,
,Carlos Álvarez RM CAM RW,21,77,83,Levante UD 2023 ~ 2027,€17M,€22K,1907,
,D. Djené CB RB CDM,33,77,77,Getafe CF 2017 ~ 2030,€5M,€33K,1862,
,Borja Mayoral ST,28,77,77,Getafe CF 2022 ~ 2027,€11M,€37K,1916,
,T. Lemar CM CAM CDM,29,77,77,"Girona FC Jun 30, 2026 On loan",€10.5M,€57K,2111,
,Álex Moreno LB,32,77,77,Girona FC 2025 ~ 2027,€7.5M,€31K,2019,
,Fran Beltrán CM CDM,26,77,78,Girona FC 2026 ~ 2030,€12.5M,€31K,2014,
,Iván Martín CM CDM CAM,26,77,78,Girona FC 2023 ~ 2028,€12.5M,€31K,2031,
,V. Vanat ST,23,77,82,Girona FC 2025 ~ 2030,€16M,€30K,1902,
,V. Lindelöf CB,30,76,76,Aston Villa 2025 ~ 2027,€6M,€81K,1864,
,B. Badiashile CB,24,76,80,Chelsea 2023 ~ 2030,€9.5M,€72K,1770,
,M. Keane CB,32,76,76,Everton 2017 ~ 2029,€4.9M,€37K,1774,
,Beto ST,27,76,76,Everton 2023 ~ 2027,€8M,€41K,1777,
,J. O'Brien RB CB RM,24,76,81,Everton 2024 ~ 2028,€10.5M,€31K,1878,
,T. Iroegbunam CDM CM,22,76,80,Everton 2024 ~ 2027,€10M,€31K,1924,
,T. Barry ST,22,76,84,Everton 2025 ~ 2029,€17M,€36K,1826,
,L. Nmecha ST,26,76,77,Leeds United 2025 ~ 2027,€9M,€55K,1906,
,J. Justin RB LB CB,27,76,76,Leeds United 2025 ~ 2029,€7M,€49K,1937,
,D. James RW RM,27,76,76,Leeds United 2021 ~ 2029,€8M,€54K,1962,
,A. Tanaka CDM CM,26,76,78,Leeds United 2024 ~ 2028,€8.5M,€49K,2036,
,S. Longstaff CM CDM,27,76,76,Leeds United 2025 ~ 2029,€8M,€51K,1986,
,P. Struijk CB,25,76,78,Leeds United 2018 ~ 2027,€8.5M,€47K,1798,
,N. Okafor ST LW CAM,25,76,79,Leeds United 2025 ~ 2029,€10M,€53K,1926,
,J. Bogle RB RM,24,76,79,Leeds United 2024 ~ 2028,€9.5M,€42K,1932,
,B. Aaronson RW CAM CM RM,24,76,79,Leeds United 2022 ~ 2027,€10M,€48K,2010,
,J. Willock CM CAM,25,76,78,Newcastle United 2021 ~ 2027,€9.5M,€83K,2044,
,L. Miley CM RB CDM,19,76,86,Newcastle United 2023 ~ 2028,€16M,€60K,2011,
,R. Yates CDM CM,27,76,77,Nottingham Forest 2016 ~ 2028,€7.5M,€68K,1912,
,D. Bakwa RM RW,22,76,82,Nottingham Forest 2025 ~ 2030,€12M,€61K,1864,
,Morato CB LB CDM,24,76,80,Nottingham Forest 2024 ~ 2029,€9.5M,€58K,1655,
,O. Hutchinson RM CAM RW,21,76,84,Nottingham Forest 2025 ~ 2030,€17M,€52K,1951,
,A. Areola GK,32,76,76,West Ham United 2022 ~ 2027,€3.7M,€37K,1372,
,K. Walker-Peters RB RM,28,76,76,West Ham United 2025 ~ 2028,€7M,€56K,1853,
,T. Souček CDM CM,30,76,76,West Ham United 2020 ~ 2027,€6.5M,€56K,1979,
,C. Talbi RW RM LM,20,76,86,Sunderland 2025 ~ 2030,€16.5M,€41K,1862,
,S. Johnstone GK,32,76,76,Wolverhampton Wanderers 2024 ~ 2028,€3.7M,€37K,1235,
,José Sá GK,32,76,76,Wolverhampton Wanderers 2021 ~ 2027,€3.7M,€37K,1303,
,S. Bueno CB,26,76,78,Wolverhampton Wanderers 2023 ~ 2028,€8M,€54K,1613,
,A. Gomes CAM CDM CM,24,76,81,"Wolverhampton Wanderers Jun 30, 2026 On loan",€11.5M,€31K,2105,
,T. Arokodare ST,24,76,79,Wolverhampton Wanderers 2025 ~ 2029,€10.5M,€54K,1754,
,Kevin LM LW RW,22,76,81,Fulham FC 2025 ~ 2030,€11.5M,€58K,1852,
,I. Diop CB,28,76,77,Fulham FC 2022 ~ 2027,€7M,€66K,1641,
,Jorge Cuenca CB,25,76,79,Fulham FC 2024 ~ 2028,€9M,€60K,1708,
,Rodrigo Muniz ST,24,76,81,Fulham FC 2021 ~ 2030,€11.5M,€63K,1878,
,O. Bobb RM LM RW,21,76,84,Fulham FC 2026 ~ 2031,€17M,€49K,1791,
,J. Anthony LM RM LW,25,76,77,Burnley 2025 ~ 2029,€9M,€49K,1875,
,L. Ugochukwu CDM CM CAM,21,76,82,Burnley 2025 ~ 2030,€11M,€36K,1971,
,M. Estève CB,23,76,82,Burnley 2024 ~ 2030,€11M,€42K,1753,
,Q. Hartman LB LM,23,76,80,Burnley 2025 ~ 2029,€10M,€42K,2023,
,C. Uche ST CAM CM,22,76,82,"Crystal Palace Jun 30, 2026 On loan",€12M,€29K,2010,
,J. Hinshelwood CDM RB CAM CM,20,76,84,Brighton & Hove Albion 2023 ~ 2029,€15.5M,€49K,2029,
,K. Ajer CB RB LB,27,76,77,Brentford 2021 ~ 2030,€7.5M,€57K,1862,
,R. Henry LB LM,27,76,76,Brentford 2016 ~ 2030,€7M,€57K,1847,
,K. Lewis-Potter LB LM RM,24,76,79,Brentford 2022 ~ 2031,€9.5M,€49K,2038,
,D. Brooks RM RW,27,76,76,AFC Bournemouth 2018 ~ 2029,€8M,€60K,1948,
,E. Ünal ST,28,76,76,AFC Bournemouth 2024 ~ 2028,€7.5M,€68K,1926,
,D. Léon GK,32,76,76,AJ Auxerre 2020 ~ 2027,€3.7M,€15K,1297,
,R. Faivre RM RW,26,76,76,"AJ Auxerre Jun 30, 2026 On loan",€8M,€60K,2067,
,S. Abdulhamid RB RM,25,76,78,"RC Lens Jun 30, 2026 On loan",€8.5M,€41K,1933,
,S. Baidoo CB,21,76,83,RC Lens 2025 ~ 2030,€14M,€18K,1641,
,R. Perraud LB LM,27,76,76,Lille OSC 2025 ~ 2028,€7M,€26K,2112,
,O. Sahraoui LM CAM LW,24,76,80,Lille OSC 2024 ~ 2029,€11M,€24K,1834,
,M. Fernandez-Pardo LM RM ST LW,20,76,84,Lille OSC 2024 ~ 2029,€16.5M,€20K,1923,
,Clinton Mata CB,32,76,76,Olympique Lyonnais 2023 ~ 2028,€4.9M,€20K,2037,
,O. Mangala CDM CM,27,76,77,Olympique Lyonnais 2024 ~ 2028,€7.5M,€19K,1910,
,T. Tessmann CDM CM,23,76,82,Olympique Lyonnais 2024 ~ 2029,€11M,€17K,1958,
,G. Hein CAM CM,28,76,76,FC Metz 2024 ~ 2028,€7.5M,€17K,1908,
,S. Adingra LW LM RW,23,76,82,"AS Monaco Jun 30, 2026 On loan",€12M,€48K,1808,
,A. Lopes GK,34,76,76,FC Nantes 2024 ~ 2027,€1.3M,€12K,1328,
,M. Abline ST LW LM,22,76,82,FC Nantes 2024 ~ 2028,€12M,€18K,1919,
,M. Sanson CM CAM CDM,30,76,76,OGC Nice 2024 ~ 2027,€7M,€26K,2087,
,S. Diop LW LM CAM,25,76,78,OGC Nice 2022 ~ 2027,€9.5M,€26K,1945,
,H. Boudaoui CM CDM,25,76,79,OGC Nice 2019 ~ 2027,€10M,€24K,2070,
,Y. Ndayishimiye CB CDM CM,26,76,78,OGC Nice 2023 ~ 2027,€8M,€24K,1925,
,P. Frankowski RB RM,30,76,76,"Stade Rennais FC Jun 30, 2026 On loan",€6.5M,€44K,2087,
,L. Blas RM RW CAM,27,76,76,Stade Rennais FC 2023 ~ 2027,€8M,€25K,2053,
,L. Brassier CB,25,76,80,Stade Rennais FC 2025 ~ 2029,€9.5M,€23K,1775,
,A. Rouault CB,24,76,81,Stade Rennais FC 2025 ~ 2029,€10M,€21K,1712,
,M. Al Tamari LM RM LB LW,28,76,76,Stade Rennais FC 2025 ~ 2028,€7.5M,€26K,2000,
,Q. Merlin LB LM,23,76,82,Stade Rennais FC 2025 ~ 2029,€11M,€21K,2030,
,J. Jacquet CB,19,76,85,Stade Rennais FC 2022 ~ 2029,€15M,€17K,1705,
