Unnamed: 0,Age,Overall rating,Potential,ID,foot,Acceleration,Sprint speed,Stamina,Strength,Interceptions,Vision,Composure,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Positioning,Weak foot,Skill moves,Attacking work rate,Defensive work rate,Unnamed: 28,Player_Name,Positions,Primary_Position,Match_Name,Club,Contract_End_Year,Height_cm,Weight_kg,Value_EUR,Wage_EUR,BMI,Value_per_Overall
,27,81,84,235840,Right,55,57,36,68,15,65,56,16,12,82,78,83,3,1,,,,M. Di Gregorio,GK,GK,M. Di Gregorio,Juventus,2029,187.0,82.0,25500000.0,73000.0,23.45,314814.81
,25,81,84,243630,Right,79,83,87,77,33,74,81,29,19,7,7,7,5,3,,,,J. David,ST,ST,J. David,Juventus,2030,178.0,81.0,34500000.0,125000.0,25.56,425925.93
,25,81,84,246430,Left,76,78,74,87,24,70,78,26,24,5,15,11,4,3,,,,D. Vlahović,ST,ST,D. Vlahovic,Juventus,2028,190.0,88.0,34500000.0,125000.0,24.38,425925.93
,24,81,85,247246,Right,77,80,81,82,81,78,82,84,75,7,9,11,3,3,,,,K. Thuram,CM CDM,CM,K. Thuram,Juventus,2029,192.0,80.0,36500000.0,105000.0,21.7,450617.28
,24,81,84,268804,Right,83,87,82,75,81,62,76,79,82,14,10,6,4,2,,,,Mario Gila,CB,CB,Mario Gila,Lazio,2027,185.0,80.0,31500000.0,35000.0,23.37,388888.89
,27,81,81,232411,Right,77,77,65,63,40,80,78,35,30,5,6,15,3,5,,,,C. Nkunku,CAM LM ST CM,CAM,C. Nkunku,AC Milan,2030,177.0,75.0,27500000.0,58000.0,23.94,339506.17
,27,81,83,232756,Right,78,84,74,76,79,48,81,86,78,10,13,11,4,2,,,,F. Tomori,CB,CB,F. Tomori,AC Milan,2027,185.0,79.0,27500000.0,54000.0,23.08,339506.17
,26,81,84,245630,Right,67,69,85,73,78,78,78,83,74,12,7,5,3,3,,,,Y. Fofana,CDM CM,CDM,Y. Fofana,AC Milan,2028,185.0,75.0,30500000.0,54000.0,21.91,376543.21
,31,81,81,216409,Left,81,79,78,39,67,80,80,58,50,11,12,8,4,4,,,,M. Politano,RW RM RB,RW,M. Politano,Napoli,2027,171.0,65.0,21500000.0,115000.0,22.23,265432.1
,28,81,81,236632,Left,87,85,69,59,48,79,85,45,38,14,10,13,3,5,,,,David Neres,LW LM,LW,David Neres,Napoli,2028,175.0,69.0,26000000.0,115000.0,22.53,320987.65
,23,81,85,261865,Left,82,80,85,66,79,80,75,78,76,14,10,6,3,2,,,,Miguel Gutiérrez,LB LM,LB,Miguel Gutierrez,Napoli,2030,180.0,73.0,34500000.0,84000.0,22.53,425925.93
,30,81,81,208268,Right,53,55,92,78,78,80,82,80,74,3,5,3,4,3,,,,B. Cristante,CM CDM,CM,B. Cristante,Roma,2027,186.0,80.0,24500000.0,67000.0,23.12,302469.14
,25,81,83,236403,Left,69,78,86,81,80,64,80,83,77,13,8,8,3,2,,,,E. Ndicka,CB,CB,E. Ndicka,Roma,2028,192.0,82.0,28500000.0,58000.0,22.24,351851.85
,28,81,81,242458,Left,80,86,73,80,26,72,83,28,23,13,13,12,4,3,,,,A. Dovbyk,ST,ST,A. Dovbyk,Roma,2029,189.0,78.0,26500000.0,72000.0,21.84,327160.49
,34,81,81,215333,Right,72,76,65,90,20,70,82,24,22,9,9,6,4,3,,,,D. Zapata,ST,ST,D. Zapata,Torino,2030,188.0,88.0,12500000.0,56000.0,24.9,154320.99
,33,81,81,193747,Right,53,45,82,75,79,82,84,79,70,14,12,10,4,3,,,,Koke,CM CDM,CM,Koke,Atlético Madrid,2028,176.0,77.0,16000000.0,76000.0,24.86,197530.86
,28,81,82,233486,Right,65,69,73,86,79,48,70,81,77,9,13,15,3,2,,,,R. Le Normand,CB,CB,R. Le Normand,Atlético Madrid,2029,187.0,80.0,24500000.0,73000.0,22.88,302469.14
,26,81,84,253163,Right,73,84,71,87,78,59,73,81,78,11,14,11,3,2,,,,R. Araujo,CB,CB,R. Araujo,FC Barcelona,2031,188.0,79.0,30000000.0,90000.0,22.35,370370.37
,30,81,81,228618,Left,83,83,83,83,79,74,76,80,79,7,16,10,5,4,,,,F. Mendy,LB LM,LB,F. Mendy,Real Madrid,2028,180.0,73.0,22000000.0,170000.0,22.53,271604.94
,25,81,82,231410,Right,82,80,72,62,35,81,78,29,21,13,9,10,5,4,,,,Brahim,RM RW,RM,Brahim,Real Madrid,2027,170.0,68.0,31000000.0,160000.0,23.53,382716.05
,22,81,85,248243,Left,81,80,84,79,80,77,75,81,83,12,6,12,3,4,,,,E. Camavinga,CM CDM LB,CM,E. Camavinga,Real Madrid,2029,185.0,77.0,37500000.0,145000.0,22.5,462962.96
,22,81,87,268889,Left,84,87,89,77,80,77,76,78,75,6,7,8,4,3,,,,Álvaro Carreras,LB CB LM,LB,Alvaro Carreras,Real Madrid,2031,186.0,75.0,38500000.0,140000.0,21.68,475308.64
,20,81,88,278349,Right,69,75,68,80,81,75,78,82,82,12,7,14,5,2,,,,D. Huijsen,CB,CB,D. Huijsen,Real Madrid,2030,196.0,86.0,47500000.0,120000.0,22.39,586419.75
,31,81,81,216201,Right,91,92,84,83,38,78,78,55,34,14,15,10,3,4,,,,Iñaki Williams,RW ST RM,RW,Inaki Williams,Athletic Club,2028,186.0,81.0,21500000.0,58000.0,23.41,265432.1
,29,81,81,226226,Left,76,75,67,65,70,84,82,73,68,10,7,15,3,4,,,,G. Lo Celso,CAM CM,CAM,G. Lo Celso,Real Betis Balompié,2028,177.0,68.0,25500000.0,40000.0,21.71,314814.81
,29,81,81,226456,Right,68,68,81,66,78,84,84,76,74,9,11,7,3,4,,,,Fornals,CM CAM CDM,CM,Fornals,Real Betis Balompié,2029,178.0,67.0,25000000.0,39000.0,21.15,308641.98
,25,81,82,255475,Left,85,85,76,65,53,81,80,52,31,9,10,8,2,5,,,,Antony,RW RM,RW,Antony,Real Betis Balompié,2030,172.0,63.0,31000000.0,38000.0,21.3,382716.05
,31,81,81,223710,Left,53,63,73,91,28,73,75,31,22,8,9,9,3,3,,,,V. Muriqi,ST,ST,V. Muriqi,RCD Mallorca,2029,194.0,92.0,22000000.0,47000.0,24.44,271604.94
,24,81,84,237681,Left,87,84,74,60,28,78,78,51,56,6,7,10,4,4,,,,T. Kubo,RM RW,RM,T. Kubo,Real Sociedad,2029,173.0,64.0,35000000.0,42000.0,21.38,432098.77
,32,81,81,216447,Left,90,87,75,34,64,77,77,45,32,11,8,10,4,3,,,,Álvaro García,LW LM ST,LW,Alvaro Garcia,Rayo Vallecano,2028,167.0,61.0,20500000.0,37000.0,21.87,253086.42
,28,81,81,243559,Right,82,84,80,68,44,81,80,44,39,13,8,14,4,4,,,,De Frutos,RW ST RM,RW,De Frutos,Rayo Vallecano,2028,173.0,72.0,26000000.0,37000.0,24.06,320987.65
,33,81,81,208093,Left,77,77,74,73,50,79,78,45,35,15,12,12,4,3,,,,Gerard Moreno,ST CAM,ST,Gerard Moreno,Villarreal CF,2027,180.0,77.0,16500000.0,55000.0,23.77,203703.7
,31,81,81,215590,Right,85,83,70,60,49,82,81,61,42,12,12,14,4,4,,,,Ayoze,ST CAM,ST,Ayoze,Villarreal CF,2028,178.0,66.0,22000000.0,55000.0,20.83,271604.94
,30,81,81,226110,Left,87,87,74,76,33,75,81,34,30,11,14,6,2,4,,,,N. Pépé,RW ST RM,RW,N. Pepe,Villarreal CF,2028,183.0,73.0,25000000.0,54000.0,21.8,308641.98
,30,81,81,242201,Right,71,67,90,68,82,85,81,80,70,12,13,10,3,3,,,,Luis Milla,CM CDM,CM,Luis Milla,Getafe CF,2027,175.0,67.0,24500000.0,46000.0,21.88,302469.14
,31,80,80,210697,Right,52,47,82,78,84,70,77,80,79,11,9,14,3,3,,,,C. Nørgaard,CDM CM,CDM,C. Nørgaard,Arsenal,2027,187.0,77.0,15000000.0,125000.0,22.02,187500.0
,28,80,80,230666,Right,85,78,62,65,32,78,79,30,28,13,8,6,3,4,,,,Gabriel Jesus,ST CAM,ST,Gabriel Jesus,Arsenal,2027,175.0,73.0,21500000.0,140000.0,23.84,268750.0
,23,80,84,254796,Left,89,88,75,67,45,75,80,45,30,5,13,12,3,4,,,,N. Madueke,RW RM,RW,N. Madueke,Arsenal,2030,182.0,75.0,30000000.0,115000.0,22.64,375000.0
,31,80,80,200458,Left,70,68,80,69,77,75,79,79,78,6,12,6,3,3,,,,L. Digne,LB LM,LB,L. Digne,Aston Villa,2028,178.0,74.0,15500000.0,110000.0,23.36,193750.0
,28,80,80,241464,Left,66,67,71,73,81,77,82,82,81,11,13,13,2,2,,,,Pau Torres,CB,CB,Pau Torres,Aston Villa,2028,191.0,80.0,18000000.0,110000.0,21.93,225000.0
,25,80,82,230918,Right,64,68,67,83,82,67,78,80,79,5,5,9,3,3,,,,T. Chalobah,CB RB,CB,T. Chalobah,Chelsea,2028,192.0,84.0,23500000.0,105000.0,22.79,293750.0
,22,80,84,262859,Left,66,73,77,79,81,73,79,81,80,15,14,10,3,2,,,,L. Colwill,CB,CB,L. Colwill,Chelsea,2029,187.0,83.0,27500000.0,95000.0,23.74,343750.0
,21,80,87,273018,Right,77,71,91,75,80,79,80,82,81,5,10,12,3,3,,,,Andrey Santos,CM CDM,CM,Andrey Santos,Chelsea,2030,180.0,77.0,42500000.0,86000.0,23.77,531250.0
,32,80,80,202695,Right,41,49,68,86,78,62,75,83,84,14,8,9,4,2,,,,J. Tarkowski,CB,CB,J. Tarkowski,Everton,2028,188.0,81.0,13500000.0,50000.0,22.92,168750.0
,26,80,81,237386,Left,70,70,75,66,71,81,82,73,68,12,15,10,3,3,,,,K. Dewsbury-Hall,CAM CM,CAM,K. Dewsbury-Hall,Everton,2030,176.0,80.0,25000000.0,51000.0,25.83,312500.0
,27,80,80,235805,Right,88,87,63,67,46,77,80,44,39,6,7,9,4,4,,,,F. Chiesa,RM ST RW,RM,F. Chiesa,Liverpool,2028,175.0,70.0,22500000.0,100000.0,22.86,281250.0
,24,80,83,242434,Right,68,79,83,69,71,79,82,77,71,6,13,11,4,4,,,,C. Jones,CM CDM CAM,CM,C. Jones,Liverpool,2027,185.0,75.0,28500000.0,87000.0,21.91,356250.0
,21,80,86,277031,Right,86,93,67,82,81,58,70,81,80,12,7,8,3,2,,,,A. Khusanov,CB,CB,A. Khusanov,Manchester City,2029,186.0,84.0,31000000.0,80000.0,24.28,387500.0
,27,80,80,236401,Right,78,73,76,69,80,77,79,77,80,12,7,12,3,3,,,,N. Mazraoui,RB CB LB RM,RB,N. Mazraoui,Manchester United,2028,183.0,65.0,20500000.0,84000.0,19.41,256250.0
,22,80,85,254088,Left,88,82,75,45,59,78,78,57,49,13,15,11,4,4,,,,Amad,RM RB RW,RM,Amad,Manchester United,2030,173.0,67.0,32500000.0,77000.0,22.39,406250.0
,22,80,87,260592,Right,82,90,84,83,39,70,77,42,35,10,8,14,4,4,,,,B. Šeško,ST,ST,B. Sesko,Manchester United,2030,195.0,86.0,43000000.0,84000.0,22.62,537500.0
,33,80,80,198032,Left,34,49,78,90,78,61,76,80,80,15,13,8,3,2,,,,D. Burn,CB LB,CB,D. Burn,Newcastle United,2027,201.0,104.0,10000000.0,115000.0,25.74,125000.0
,27,80,80,234742,Right,80,85,74,71,43,80,77,43,40,6,5,8,4,3,,,,H. Barnes,LW RW LM,LW,H. Barnes,Newcastle United,2028,182.0,72.0,22500000.0,125000.0,21.74,281250.0
,23,80,85,254022,Right,64,69,76,83,35,79,83,44,30,11,8,9,3,4,,,,N. Woltemade,ST CM,ST,N. Woltemade,Newcastle United,2031,198.0,90.0,32000000.0,110000.0,22.96,400000.0
,22,80,86,262118,Right,80,84,79,71,78,68,79,80,78,10,12,13,4,3,,,,T. Livramento,RB LB RM,RB,T. Livramento,Newcastle United,2028,182.0,71.0,31500000.0,95000.0,21.43,393750.0
,28,80,80,224656,Right,89,87,77,75,78,70,74,79,79,7,14,10,4,3,,,,O. Aina,RB LB RM,RB,O. Aina,Nottingham Forest,2028,184.0,82.0,19000000.0,95000.0,24.22,237500.0
,27,80,81,238095,Right,62,53,74,90,80,55,78,81,78,8,7,7,3,2,,,,N. Milenković,CB,CB,N. Milenkovic,Nottingham Forest,2029,195.0,90.0,21000000.0,90000.0,23.67,262500.0
,24,80,82,243057,Right,70,73,79,64,79,69,76,80,82,10,11,14,4,2,,,,N. Williams,LB RB,LB,N. Williams,Nottingham Forest,2029,183.0,72.0,25000000.0,78000.0,21.5,312500.0
,27,80,80,225539,Right,68,74,87,84,43,70,78,35,22,9,15,9,2,3,,,,D. Solanke,ST,ST,D. Solanke,Tottenham Hotspur,2030,187.0,80.0,23000000.0,110000.0,22.88,287500.0
,28,80,81,227535,Right,63,65,72,70,83,78,82,80,77,8,7,14,4,3,,,,R. Bentancur,CDM CM,CDM,R. Bentancur,Tottenham Hotspur,2030,187.0,72.0,20500000.0,100000.0,20.59,256250.0
,22,80,85,259868,Right,71,66,85,71,80,78,80,80,76,14,8,8,3,2,,,,P. Sarr,CM CDM,CM,P. Sarr,Tottenham Hotspur,2030,184.0,70.0,32000000.0,88000.0,20.68,400000.0
,27,80,80,226166,Right,76,69,68,81,81,64,71,81,85,10,7,11,3,3,,,,N. Mukiele,CB RB,CB,N. Mukiele,Sunderland,2029,187.0,84.0,19500000.0,65000.0,24.02,243750.0
,31,80,80,236045,Left,81,81,82,75,80,64,73,79,79,6,8,15,3,3,,,,Reinildo,LB,LB,Reinildo,Sunderland,2027,180.0,73.0,15500000.0,68000.0,22.53,193750.0
,28,80,81,240359,Left,56,63,71,83,81,51,68,81,79,7,13,13,3,2,,,,O. Alderete,CB,CB,O. Alderete,Sunderland,2029,188.0,77.0,20000000.0,68000.0,21.79,250000.0
,22,80,86,263798,Left,29,33,23,64,7,33,31,13,13,80,78,81,3,1,,,,R. Roefs,GK,GK,R. Roefs,Sunderland,2030,193.0,72.0,27500000.0,33000.0,19.33,343750.0
,29,80,80,213655,Right,77,75,88,72,59,81,81,64,50,14,7,14,3,4,,,,A. Iwobi,LM CDM LW,LM,A. Iwobi,Fulham FC,2028,180.0,75.0,20500000.0,90000.0,23.15,256250.0
,28,80,80,220710,Left,79,76,75,53,40,81,82,45,40,7,13,15,2,3,,,,H. Wilson,RM CAM RW,RM,H. Wilson,Fulham FC,2030,173.0,70.0,21000000.0,90000.0,23.39,262500.0
,34,80,80,186146,Right,60,60,68,81,40,75,80,40,35,9,10,12,4,3,,,,D. Welbeck,ST,ST,D. Welbeck,Brighton & Hove Albion,2027,185.0,73.0,10500000.0,105000.0,21.33,131250.0
,22,80,86,258498,Right,57,55,30,72,19,43,35,17,14,80,77,79,4,1,,,,B. Verbruggen,GK,GK,B. Verbruggen,Brighton & Hove Albion,2028,193.0,89.0,27500000.0,45000.0,23.89,343750.0
,25,80,83,258908,Right,66,68,70,79,79,76,78,80,83,11,9,7,3,2,,,,J. van Hecke,CB,CB,J. van Hecke,Brighton & Hove Albion,2027,189.0,79.0,25000000.0,86000.0,22.12,312500.0
,20,80,86,271800,Left,94,94,70,47,54,78,80,60,49,9,8,11,3,4,,,,Y. Minteh,RM RW,RM,Y. Minteh,Brighton & Hove Albion,2029,180.0,65.0,33000000.0,70000.0,20.06,412500.0
,21,80,86,272500,Left,75,74,76,79,82,76,80,81,78,11,6,14,3,3,,,,C. Baleba,CDM CM,CDM,C. Baleba,Brighton & Hove Albion,2028,183.0,77.0,31000000.0,65000.0,22.99,387500.0
,24,80,83,241508,Right,70,66,78,62,69,84,81,74,64,6,10,11,3,4,,,,M. Damsgaard,CAM CM LW,CAM,M. Damsgaard,Brentford,2030,180.0,70.0,29000000.0,71000.0,21.6,362500.0
,20,80,85,277869,Right,84,82,81,78,79,71,76,80,77,9,8,14,3,3,,,,M. Kayode,RB RM,RB,M. Kayode,Brentford,2030,179.0,70.0,29000000.0,55000.0,21.85,362500.0
,21,80,86,261299,Right,73,70,86,65,80,80,81,76,80,9,10,12,3,3,,,,A. Scott,CDM CM CAM,CDM,A. Scott,AFC Bournemouth,2028,178.0,68.0,31000000.0,55000.0,21.46,387500.0
,31,80,80,208787,Right,62,54,93,65,75,79,79,69,58,14,9,9,4,4,,,,A. Thomasson,CM CDM,CM,A. Thomasson,RC Lens,2029,175.0,72.0,17500000.0,35000.0,23.51,218750.0
,29,80,80,229236,Left,70,72,85,82,76,68,72,79,74,13,12,8,3,2,,,,M. Udol,LB LM CB CDM,LB,M. Udol,RC Lens,2028,178.0,79.0,18500000.0,34000.0,24.93,231250.0
,23,80,87,258601,Left,83,78,85,64,82,80,81,82,74,7,7,7,4,3,,,,M. Sangaré,CM CDM,CM,M. Sangare,RC Lens,2030,181.0,72.0,42000000.0,29000.0,21.98,525000.0
,34,80,80,190674,Right,54,55,90,79,80,72,79,81,76,8,14,7,3,3,,,,B. André,CDM CM,CDM,B. Andre,Lille OSC,2028,180.0,76.0,7000000.0,36000.0,23.46,87500.0
,29,80,80,225859,Left,60,76,77,84,81,61,77,82,80,9,14,8,3,2,,,,M. Niakhaté,CB,CB,M. Niakhate,Olympique Lyonnais,2028,190.0,85.0,17500000.0,27000.0,23.55,218750.0
,28,80,82,263139,Right,25,22,17,60,14,53,51,11,11,78,76,81,3,1,,,,D. Greif,GK,GK,D. Greif,Olympique Lyonnais,2029,197.0,82.0,18000000.0,18000.0,21.13,225000.0
,35,80,80,190941,Right,38,44,34,55,18,53,45,10,13,82,78,80,3,1,,,,L. Hrádecký,GK,GK,L. Hradecky,AS Monaco,2027,192.0,85.0,2300000.0,15000.0,23.06,28750.0
,23,80,86,264862,Left,75,74,77,58,48,82,81,52,44,8,10,5,3,4,,,,M. Akliouche,CAM RM ST,CAM,M. Akliouche,AS Monaco,2028,183.0,63.0,33500000.0,35000.0,18.81,418750.0
,24,80,83,243780,Left,75,69,73,56,55,81,81,55,44,11,12,8,3,4,,,,Lee Kang In,RW CM CAM RM,RW,Lee Kang In,Paris Saint-Germain,2028,173.0,66.0,29000000.0,78000.0,22.05,362500.0
,24,80,84,256903,Right,73,73,79,79,44,63,75,47,34,15,9,7,4,2,,,,Gonçalo Ramos,ST,ST,Goncalo Ramos,Paris Saint-Germain,2028,185.0,82.0,30500000.0,79000.0,23.96,381250.0
,22,80,85,258781,Right,76,84,73,85,79,57,74,82,79,14,11,11,3,2,,,,I. Zabarnyi,CB,CB,I. Zabarnyi,Paris Saint-Germain,2030,189.0,80.0,29500000.0,68000.0,22.4,368750.0
,31,80,80,204883,Left,49,60,37,78,18,48,66,14,12,78,80,80,3,1,,,,B. Samba,GK,GK,B. Samba,Stade Rennais FC,2029,187.0,90.0,11000000.0,22000.0,25.74,137500.0
,30,80,80,223874,Right,67,58,86,78,78,78,77,80,74,11,8,7,4,3,,,,V. Rongier,CDM CM,CDM,V. Rongier,Stade Rennais FC,2028,174.0,67.0,17500000.0,34000.0,22.13,218750.0
,26,80,83,242835,Right,69,83,69,81,81,70,76,81,79,6,8,15,3,2,,,,L. Balerdi,CB,CB,L. Balerdi,Olympique de Marseille,2028,187.0,85.0,24500000.0,45000.0,24.31,306250.0
,24,80,85,251806,Right,86,69,79,85,78,78,79,76,70,5,8,11,3,3,,,,Q. Timber,CM CDM CAM,CM,Q. Timber,Olympique de Marseille,2030,179.0,74.0,31500000.0,41000.0,23.1,393750.0
,25,80,83,271400,Right,85,87,76,68,22,75,74,37,29,8,13,12,2,4,,,,Igor Paixão,LM LW,LM,Igor Paixao,Olympique de Marseille,2030,168.0,63.0,28000000.0,45000.0,22.32,350000.0
,27,80,80,229891,Right,77,72,83,80,74,63,74,76,80,7,13,7,3,2,,,,J. Ryerson,RB LB RM,RB,J. Ryerson,Borussia Dortmund,2028,183.0,82.0,20500000.0,50000.0,24.49,256250.0
,22,80,84,254117,Right,86,86,85,53,45,72,76,39,33,6,8,6,3,3,,,,M. Beier,ST CAM LM,ST,M. Beier,Borussia Dortmund,2029,185.0,72.0,31000000.0,50000.0,21.04,387500.0
,29,80,80,214096,Left,59,74,90,87,52,65,85,39,25,7,8,7,5,2,,,,T. Kleindienst,ST,ST,T. Kleindienst,Borussia Mönchengladbach,2029,194.0,85.0,21000000.0,40000.0,22.58,262500.0
,28,80,80,220876,Right,81,83,80,56,59,77,75,46,51,10,15,14,3,4,,,,F. Honorat,RM CAM ST RW,RM,F. Honorat,Borussia Mönchengladbach,2029,180.0,70.0,21000000.0,37000.0,21.6,262500.0
,28,80,81,223885,Right,49,46,39,74,20,65,67,14,13,81,75,77,4,1,,,,A. Nübel,GK,GK,A. Nubel,"VfB Stuttgart Jun 30, 2026 On loan",,193.0,86.0,16500000.0,42000.0,23.09,206250.0
,27,80,80,238900,Right,68,75,80,77,36,78,73,39,42,9,8,7,3,3,,,,E. Demirović,ST,ST,E. Demirovic,VfB Stuttgart,2028,185.0,84.0,23000000.0,49000.0,24.54,287500.0
,27,80,80,239340,Left,33,58,76,91,78,40,64,81,81,9,13,8,2,2,,,,J. Chabot,CB,CB,J. Chabot,VfB Stuttgart,2028,195.0,95.0,19500000.0,43000.0,24.98,243750.0
,24,80,83,73078,Right,76,81,92,66,88,68,78,79,72,7,11,8,3,2,,,,K. Sano,CDM CM,CDM,K. Sano,1. FSV Mainz 05,2028,176.0,76.0,26000000.0,30000.0,24.54,325000.0
,28,80,80,225309,Right,76,56,78,68,69,85,82,65,44,12,12,12,3,4,,,,N. Amiri,CM CAM,CM,N. Amiri,1. FSV Mainz 05,2028,180.0,76.0,21000000.0,37000.0,23.46,262500.0
,25,80,83,264697,Right,94,87,86,45,39,75,79,48,53,9,7,9,3,4,,,,M. Amoura,ST LW LM CAM,ST,M. Amoura,VfL Wolfsburg,2029,170.0,61.0,28500000.0,56000.0,21.11,356250.0
,28,80,80,236532,Right,55,68,77,82,78,64,79,83,75,9,6,8,4,2,,,,R. Koch,CB,CB,R. Koch,Eintracht Frankfurt,2030,192.0,85.0,18000000.0,39000.0,23.06,225000.0
,22,80,86,269701,Left,88,79,84,44,75,75,82,79,83,7,6,13,3,4,,,,N. Brown,LB LM RB,LB,N. Brown,Eintracht Frankfurt,2030,176.0,60.0,31500000.0,32000.0,19.37,393750.0
,27,80,81,232658,Right,57,68,80,89,76,57,76,81,75,9,9,13,3,2,,,,D. Doekhi,CB,CB,D. Doekhi,1. FC Union Berlin,2028,190.0,86.0,21000000.0,41000.0,23.82,262500.0
,28,80,80,228579,Right,74,73,73,74,77,74,78,81,84,8,9,12,4,3,,,,B. Henrichs,RB RM LB CM,RB,B. Henrichs,RB Leipzig,2028,185.0,84.0,19000000.0,58000.0,24.54,237500.0
,24,80,85,257876,Right,74,70,79,74,86,75,71,82,74,5,8,14,3,2,,,,N. Seiwald,CDM CM CB,CDM,N. Seiwald,RB Leipzig,2028,180.0,80.0,29000000.0,48000.0,24.69,362500.0
,24,80,85,246875,Right,74,84,76,79,80,57,73,82,80,5,8,10,3,2,,,,O. Kossounou,CB,CB,O. Kossounou,Atalanta,2029,191.0,79.0,29000000.0,57000.0,21.66,362500.0
,32,80,80,208574,Left,79,82,78,77,69,78,80,74,72,13,14,12,2,3,,,,F. Kostić,LM LB,LM,F. Kostic,Juventus,2029,184.0,84.0,16500000.0,115000.0,24.81,206250.0
,27,80,80,240679,Left,71,70,83,71,78,84,81,74,72,14,8,12,2,3,,,,T. Koopmeiners,CAM CM CB,CAM,T. Koopmeiners,Juventus,2029,183.0,77.0,22500000.0,115000.0,22.99,281250.0
,25,80,85,255654,Right,76,83,76,75,82,59,80,83,79,12,5,9,3,2,,,,P. Kalulu,CB RB RM CM,CB,P. Kalulu,Juventus,2029,182.0,80.0,28000000.0,100000.0,24.15,350000.0
,25,80,82,258966,Left,80,80,78,68,74,79,78,79,76,13,7,13,5,3,,,,A. Cambiaso,LB RB LM,LB,A. Cambiaso,Juventus,2027,182.0,77.0,24500000.0,100000.0,23.25,306250.0
,27,80,83,266872,Right,73,78,74,81,79,40,78,81,78,6,11,11,3,2,,,,F. Gatti,CB,CB,F. Gatti,Juventus,2030,190.0,80.0,24000000.0,105000.0,22.16,300000.0
,29,80,80,213666,Right,78,84,72,85,75,79,82,76,70,11,7,15,4,4,,,,R. Loftus-Cheek,CM CAM,CM,R. Loftus-Cheek,AC Milan,2027,191.0,88.0,20500000.0,55000.0,24.12,256250.0
,25,80,83,240277,Right,43,53,81,70,80,45,70,84,79,11,5,14,3,2,,,,M. Gabbia,CB,CB,M. Gabbia,AC Milan,2029,185.0,78.0,25000000.0,48000.0,22.79,312500.0
,26,80,80,242664,Right,83,77,82,54,69,71,75,71,68,9,6,12,4,4,,,,A. Saelemaekers,RM LM RB RW,RM,A. Saelemaekers,AC Milan,2031,180.0,72.0,23000000.0,53000.0,22.22,287500.0
,32,80,80,202884,Right,84,86,69,66,77,76,75,78,74,11,13,15,4,4,,,,L. Spinazzola,LB LM,LB,L. Spinazzola,Napoli,2029,186.0,75.0,14500000.0,95000.0,21.68,181250.0
,29,80,80,228251,Right,75,74,77,70,67,83,78,74,72,12,7,13,4,3,,,,L. Pellegrini,CAM CM,CAM,L. Pellegrini,Roma,2030,186.0,77.0,20500000.0,63000.0,22.26,256250.0
,26,80,80,231447,Right,89,84,69,66,31,71,79,33,35,7,9,10,4,4,,,,D. Malen,ST RM RW CAM,ST,D. Malen,"Roma Jun 30, 2026 On loan",,176.0,68.0,23500000.0,120000.0,21.95,293750.0
,24,80,84,250723,Right,77,72,82,82,77,75,79,79,71,11,10,9,3,4,,,,K. Koné,CM CDM,CM,K. Kone,Roma,2029,185.0,80.0,30000000.0,52000.0,23.37,375000.0
,27,80,80,241095,Right,77,72,76,65,62,81,80,62,37,6,14,9,4,3,,,,N. Vlašić,CAM CM LW,CAM,N. Vlasic,Torino,2027,179.0,79.0,22500000.0,47000.0,24.66,281250.0
,26,80,80,243593,Right,93,89,82,51,32,74,76,40,38,13,13,14,3,4,,,,A. Laurienté,LW LM,LW,A. Lauriente,Sassuolo,2029,171.0,59.0,23000000.0,30000.0,20.18,287500.0
,31,80,80,214979,Right,46,45,35,70,18,48,67,14,16,79,78,81,3,1,,,,J. Musso,GK,GK,J. Musso,Atlético Madrid,2028,191.0,93.0,11000000.0,44000.0,25.49,137500.0
,23,80,84,259516,Right,75,74,77,79,83,74,76,80,77,10,14,12,2,3,,,,Johnny Cardoso,CDM CM,CDM,Johnny Cardoso,Atlético Madrid,2030,185.0,78.0,27500000.0,56000.0,22.79,343750.0
,22,80,87,266039,Right,77,83,81,83,80,69,80,80,76,15,6,6,3,2,,,,Pubill,CB RB RM,CB,Pubill,Atlético Madrid,2030,191.0,86.0,40000000.0,56000.0,23.57,500000.0
,29,80,80,213661,Right,68,74,67,76,81,62,79,81,81,10,12,6,3,2,,,,A. Christensen,CB CM CDM,CB,A. Christensen,FC Barcelona,2030,189.0,82.0,17500000.0,90000.0,22.96,218750.0
,33,80,80,197445,Left,64,72,72,77,82,76,82,83,80,5,7,15,4,3,,,,D. Alaba,CB,CB,D. Alaba,Real Madrid,2029,180.0,78.0,10000000.0,160000.0,24.07,125000.0
,28,80,80,222509,Right,65,57,75,61,76,80,80,75,70,12,15,7,3,4,,,,Dani Ceballos,CM CDM CAM,CM,Dani Ceballos,Real Madrid,2027,179.0,70.0,21000000.0,165000.0,21.85,262500.0
,26,80,83,243952,Right,39,35,32,61,19,60,56,13,11,80,78,79,3,1,,,,A. Lunin,GK,GK,A. Lunin,Real Madrid,2030,191.0,83.0,21000000.0,95000.0,22.75,262500.0
,31,80,80,205157,Right,65,56,82,62,75,82,83,79,77,12,6,7,3,3,,,,Ruiz de Galarreta,CDM CM,CDM,Ruiz de Galarreta,Athletic Club,2027,175.0,69.0,15000000.0,49000.0,22.53,187500.0
